player_name,market,selection,line,price,snapshot_ts
corbin carroll,batter_runs_scored,under,0.5,-800,2026-07-12T02:47:20Z
corbin carroll,batter_total_bases,over,0.5,135,2026-07-12T01:58:17Z
corbin carroll,batter_total_bases,under,0.5,-185,2026-07-12T01:58:17Z
dalton rushing,batter_hits,over,0.5,135,2026-07-12T01:58:17Z
dalton rushing,batter_hits,over,0.5,+265,2026-07-12T02:47:20Z
dalton rushing,batter_hits,under,0.5,-180,2026-07-12T01:58:17Z
dalton rushing,batter_hits,under,0.5,-370,2026-07-12T02:47:20Z
dalton rushing,batter_hits_runs_rbis,over,0.5,100,2026-07-12T01:58:17Z
dalton rushing,batter_hits_runs_rbis,over,0.5,+210,2026-07-12T02:47:20Z
dalton rushing,batter_hits_runs_rbis,under,0.5,-132,2026-07-12T01:58:17Z
dalton rushing,batter_hits_runs_rbis,under,0.5,-290,2026-07-12T02:47:20Z
dalton rushing,batter_home_runs,over,0.5,575,2026-07-12T01:58:17Z
dalton rushing,batter_home_runs,over,0.5,+1100,2026-07-12T02:47:20Z
dalton rushing,batter_rbis,over,0.5,330,2026-07-12T01:58:17Z
dalton rushing,batter_rbis,over,0.5,+600,2026-07-12T02:47:20Z
dalton rushing,batter_rbis,under,0.5,-500,2026-07-12T01:58:17Z
dalton rushing,batter_rbis,under,0.5,-1100,2026-07-12T02:47:20Z
dalton rushing,batter_runs_scored,over,0.5,235,2026-07-12T01:58:17Z
dalton rushing,batter_runs_scored,over,0.5,+425,2026-07-12T02:47:20Z
dalton rushing,batter_runs_scored,under,0.5,-350,2026-07-12T01:58:17Z
dalton rushing,batter_runs_scored,under,0.5,-700,2026-07-12T02:47:20Z
daulton varsho,batter_hits,over,0.5,120,2026-07-12T01:58:17Z
daulton varsho,batter_hits,over,0.5,+250,2026-07-12T02:47:20Z
daulton varsho,batter_hits,under,0.5,-170,2026-07-12T01:58:17Z
daulton varsho,batter_hits,under,0.5,-375,2026-07-12T02:47:20Z
daulton varsho,batter_hits_runs_rbis,over,1.5,-106,2026-07-12T01:58:17Z
daulton varsho,batter_hits_runs_rbis,over,1.5,+220,2026-07-12T02:47:20Z
daulton varsho,batter_hits_runs_rbis,under,1.5,-125,2026-07-12T01:58:17Z
daulton varsho,batter_hits_runs_rbis,under,1.5,-320,2026-07-12T02:47:20Z
daulton varsho,batter_home_runs,over,0.5,750,2026-07-12T01:58:17Z
daulton varsho,batter_home_runs,over,0.5,+1300,2026-07-12T02:47:20Z
daulton varsho,batter_rbis,over,0.5,300,2026-07-12T01:58:17Z
daulton varsho,batter_rbis,over,0.5,+525,2026-07-12T02:47:20Z
daulton varsho,batter_rbis,under,0.5,-475,2026-07-12T01:58:17Z
daulton varsho,batter_rbis,under,0.5,-950,2026-07-12T02:47:20Z
daulton varsho,batter_runs_scored,over,1.5,265,2026-07-12T01:58:17Z
daulton varsho,batter_runs_scored,over,1.5,+450,2026-07-12T02:47:20Z
daulton varsho,batter_runs_scored,under,1.5,-390,2026-07-12T01:58:17Z
daulton varsho,batter_runs_scored,under,1.5,-750,2026-07-12T02:47:20Z
edwin arroyo,batter_home_runs,over,0.5,2600,2026-07-12T01:58:17Z
elly de la cruz,batter_home_runs,over,0.5,2000,2026-07-12T01:58:17Z
ernie clement,batter_hits,over,0.5,-140,2026-07-12T01:58:17Z
ernie clement,batter_hits,under,0.5,105,2026-07-12T01:58:17Z
ernie clement,batter_hits_runs_rbis,over,1.5,130,2026-07-12T01:58:17Z
ernie clement,batter_hits_runs_rbis,over,1.5,+105,2026-07-12T02:47:20Z
