event_key,segment,market,selection,current_line,current_price,open_line,open_price,line_move,price_move,latest_snapshot_ts
Arizona Diamondbacks @ Miami Marlins,first7,spread_away,away,8.5,-310,8.5,-310,0.0,0,2026-06-11T00:51:28Z
Arizona Diamondbacks @ Miami Marlins,first7,spread_home,home,-8.5,+210,-8.5,+210,0.0,0,2026-06-11T00:51:28Z
Arizona Diamondbacks @ Miami Marlins,first7,total,over,8.5,+100,8.5,+100,0.0,0,2026-06-11T00:51:28Z
Arizona Diamondbacks @ Miami Marlins,first7,total,under,8.5,-130,8.5,-130,0.0,0,2026-06-11T00:51:28Z
Arizona Diamondbacks @ Miami Marlins,full,spread_away,away,7.5,+125,7.5,+125,0.0,0,2026-06-11T00:51:28Z
Arizona Diamondbacks @ Miami Marlins,full,spread_home,home,-7.5,-165,-7.5,-165,0.0,0,2026-06-11T00:51:28Z
Arizona Diamondbacks @ Miami Marlins,full,total,over,9.5,+125,9.5,+125,0.0,0,2026-06-11T00:51:28Z
Arizona Diamondbacks @ Miami Marlins,full,total,under,9.5,-165,9.5,-165,0.0,0,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first5,moneyline,away,,+143,,+143,,0,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first5,moneyline,home,,-199,,-199,,0,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first5,spread_away,away,0.5,-244,0.5,-244,0.0,0,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first5,spread_home,home,-0.5,+172,-0.5,+172,0.0,0,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first5,total,over,0.5,-117,0.5,-117,0.0,0,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first5,total,under,0.5,-117,0.5,-117,0.0,0,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first7,moneyline,away,,+355,,+355,,0,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first7,moneyline,home,,-604,,-604,,0,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first7,spread_away,away,1.5,-103,1.5,-103,0.0,0,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first7,spread_home,home,-1.5,-133,-1.5,-133,0.0,0,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first7,total,over,3.5,-133,3.5,-133,0.0,0,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,first7,total,under,3.5,-103,3.5,-103,0.0,0,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,full,moneyline,away,,+230,,+230,,0,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,full,moneyline,home,,-300,,-300,,0,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,full,spread_away,away,1.5,-115,1.5,-115,0.0,0,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,full,spread_home,home,-1.5,-115,-1.5,-115,0.0,0,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,full,total,over,5.5,-110,5.5,-110,0.0,0,2026-06-11T00:51:28Z
Atlanta Braves @ Chicago White Sox,full,total,under,5.5,-120,5.5,-120,0.0,0,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first1,moneyline,away,,+190,,+190,,0,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first1,moneyline,home,,+310,,+310,,0,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first1,spread_away,away,0.5,-575,0.5,-575,0.0,0,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first1,spread_home,home,-0.5,+375,-0.5,+375,0.0,0,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first1,total,over,0.5,-155,0.5,-155,0.0,0,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first1,total,under,0.5,+120,0.5,+120,0.0,0,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first3,moneyline,away,,-166,,-166,,0,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first3,moneyline,home,,+130,,+130,,0,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first3,spread_away,away,-0.5,-110,-0.5,-110,0.0,0,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first3,spread_home,home,0.5,-120,0.5,-120,0.0,0,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first3,total,over,3.5,-120,3.5,-120,0.0,0,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first3,total,under,3.5,-110,3.5,-110,0.0,0,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first5,moneyline,away,,-175,,-175,,0,2026-06-11T00:51:28Z
Chicago Cubs @ Colorado Rockies,first5,moneyline,home,,+135,,+135,,0,2026-06-11T00:51:28Z
