league,season,team,match_index,date,home_away,xg_for,xg_against,npxg_for,npxg_against,ppda,ppda_allowed,deep_entries,deep_entries_allowed,goals_for,goals_against,expected_points,points,result
ligue_1,2024,Lille,0,2024-08-17 17:00:00,a,2.3171,0.0759,2.3171,0.0759,4.6571,21.0,7.0,3.0,2.0,0.0,2.8552,3.0,w
ligue_1,2024,Lille,1,2024-08-24 17:00:00,h,1.258,0.737,1.258,0.737,6.6667,15.8095,9.0,1.0,2.0,0.0,1.7879,3.0,w
ligue_1,2024,Lille,2,2024-09-01 18:45:00,h,1.5756,3.2414,1.5756,2.4813,16.4167,18.0,11.0,5.0,1.0,3.0,0.397,0.0,l
ligue_1,2024,Lille,3,2024-09-13 18:30:00,a,2.7318,1.1774,2.7318,1.1774,8.0,19.7778,13.0,3.0,0.0,1.0,2.3887,0.0,l
ligue_1,2024,Lille,4,2024-09-21 15:00:00,h,2.3021,3.02,1.542,3.02,7.4,29.0,8.0,4.0,3.0,3.0,0.9004,1.0,d
ligue_1,2024,Lille,5,2024-09-28 17:00:00,a,3.5706,0.489,2.8105,0.489,9.9583,21.3333,22.0,4.0,3.0,0.0,2.9195,3.0,w
ligue_1,2024,Lille,6,2024-10-05 17:00:00,h,1.3775,1.4365,1.3775,1.4365,9.125,11.2333,5.0,4.0,2.0,1.0,1.2782,3.0,w
ligue_1,2024,Lille,7,2024-10-18 18:45:00,a,0.1638,1.1914,0.1638,1.1914,11.1905,9.2963,2.0,11.0,0.0,0.0,0.427,1.0,d
ligue_1,2024,Lille,8,2024-10-26 19:00:00,a,1.4764,0.8653,0.7163,0.8653,12.1579,4.1111,3.0,6.0,2.0,0.0,1.8836,3.0,w
ligue_1,2024,Lille,9,2024-11-01 20:00:00,h,1.6724,1.5801,1.6724,1.5801,11.2273,11.2,7.0,11.0,1.0,1.0,1.4204,1.0,d
ligue_1,2024,Lille,10,2024-11-10 14:00:00,a,2.1956,1.9298,2.1956,1.9298,8.1379,15.9474,5.0,11.0,2.0,2.0,1.5621,1.0,d
ligue_1,2024,Lille,11,2024-11-24 14:00:00,h,0.6415,0.1781,0.6415,0.1781,9.0968,11.7917,6.0,2.0,1.0,0.0,1.8529,3.0,w
