date,team_tri,player_id,player_id,player_name,stat,line,line_n_books,sim_mu,expected_min,game_id,actual_min,actual,pace_proj_final,sim_vs_line,actual_vs_line,pace_vs_line
2026-05-26,OKC,1627936,1627936,Alex Caruso,ast,1.5,6,1.1252,15.8,,,,,-0.3748,,
2026-05-26,OKC,1627936,1627936,Alex Caruso,pra,13.5,8,7.818199999999999,15.8,,,,,-5.681800000000001,,
2026-05-26,OKC,1627936,1627936,Alex Caruso,pts,8.5,11,3.9188,15.8,,,,,-4.5812,,
2026-05-26,OKC,1627936,1627936,Alex Caruso,reb,3.5,1,2.7742,15.8,,,,,-0.7258,,
2026-05-26,OKC,1627936,1627936,Alex Caruso,threes,1.5,5,0.8341999999999999,15.8,,,,,-0.6658000000000001,,
2026-05-26,OKC,1641717,1641717,Cason Wallace,ast,2.5,6,1.5035,22.1,,,,,-0.9964999999999999,,
2026-05-26,OKC,1641717,1641717,Cason Wallace,pra,14.5,10,11.3005,22.1,,,,,-3.1995000000000005,,
2026-05-26,OKC,1641717,1641717,Cason Wallace,pts,8.5,10,7.158599999999999,22.1,,,,,-1.341400000000001,,
2026-05-26,OKC,1641717,1641717,Cason Wallace,reb,3.5,8,2.6384,22.1,,,,,-0.8616000000000001,,
2026-05-26,OKC,1641717,1641717,Cason Wallace,threes,1.5,4,1.649,22.1,,,,,0.14900000000000002,,
2026-05-26,OKC,1631096,1631096,Chet Holmgren,ast,1.5,5,2.0564,26.1,,,,,0.5564,,
2026-05-26,OKC,1631096,1631096,Chet Holmgren,pra,21.5,11,31.2922,26.1,,,,,9.792200000000001,,
2026-05-26,OKC,1631096,1631096,Chet Holmgren,pts,13.5,13,19.6716,26.1,,,,,6.1716000000000015,,
2026-05-26,OKC,1631096,1631096,Chet Holmgren,reb,7.5,8,9.5642,26.1,,,,,2.0641999999999996,,
2026-05-26,OKC,1631096,1631096,Chet Holmgren,threes,1.5,7,2.1631,26.1,,,,,0.6631,,
2026-05-26,OKC,1628392,1628392,Isaiah Hartenstein,ast,2.5,5,2.0564,20.2,,,,,-0.4436,,
2026-05-26,OKC,1628392,1628392,Isaiah Hartenstein,pra,17.5,10,16.4609,20.2,,,,,-1.0391000000000012,,
2026-05-26,OKC,1628392,1628392,Isaiah Hartenstein,pts,7.5,6,6.8773,20.2,,,,,-0.6227,,
2026-05-26,OKC,1631114,1631114,Jalen Williams,ast,3.5,7,6.15,23.9,,,,,2.6500000000000004,,
2026-05-26,OKC,1631114,1631114,Jalen Williams,pra,22.0,10,27.4,23.9,,,,,5.399999999999999,,
2026-05-26,OKC,1631114,1631114,Jalen Williams,pts,14.5,13,16.15,23.9,,,,,1.6499999999999986,,
2026-05-26,OKC,1631114,1631114,Jalen Williams,reb,3.5,7,5.1,23.9,,,,,1.5999999999999996,,
2026-05-26,OKC,1631114,1631114,Jalen Williams,threes,0.5,3,0.38,23.9,,,,,-0.12,,
2026-05-26,OKC,1642272,1642272,Jared McCain,pra,15.5,8,12.080000000000002,14.8,,,,,-3.419999999999998,,
2026-05-26,OKC,1642272,1642272,Jared McCain,pts,11.5,12,8.71,14.8,,,,,-2.789999999999999,,
2026-05-26,OKC,1642272,1642272,Jared McCain,reb,2.5,5,1.98,14.8,,,,,-0.52,,
2026-05-26,OKC,1642272,1642272,Jared McCain,threes,2.5,6,0.93,14.8,,,,,-1.5699999999999998,,
2026-05-26,OKC,1631119,1631119,Jaylin Williams,pra,11.5,1,11.203499999999998,15.9,,,,,-0.29650000000000176,,
2026-05-26,OKC,1631119,1631119,Jaylin Williams,pts,5.5,7,4.345599999999999,15.9,,,,,-1.1544000000000008,,
2026-05-26,OKC,1631119,1631119,Jaylin Williams,reb,4.5,5,4.9373,15.9,,,,,0.4372999999999996,,
2026-05-26,OKC,1629652,1629652,Luguentz Dort,pra,8.5,7,9.89,21.4,,,,,1.3900000000000006,,
2026-05-26,OKC,1629652,1629652,Luguentz Dort,pts,5.5,9,6.92,21.4,,,,,1.42,,
2026-05-26,OKC,1629652,1629652,Luguentz Dort,reb,2.5,6,1.98,21.4,,,,,-0.52,,
2026-05-26,OKC,1629652,1629652,Luguentz Dort,threes,1.5,6,1.92,21.4,,,,,0.41999999999999993,,
