market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ATS,New York Knicks,New York Knicks,San Antonio Spurs,2026-06-08,0.039783,-110.0,0.52381,3.978342,2.0,1.978342,-2.0,,Medium
TOTAL,Over,New York Knicks,San Antonio Spurs,2026-06-08,0.0216,-110.0,0.52381,2.16003,216.5,,,218.66003,Medium
