team_id,team,player_id,player_name,jersey,position,position_abbreviation,age,height,weight,date_of_birth,headshot_url
18418,Atlanta United FC,109193,Lucas Hoyos,1,Goalkeeper,G,37.0,72.0,168.0,1989-04-29T07:00Z,
18418,Atlanta United FC,385044,Jayden Hibbert,42,Goalkeeper,G,21.0,74.0,163.0,2004-08-05T07:00Z,
18418,Atlanta United FC,138636,Matt Edwards,47,Defender,D,23.0,70.0,172.0,2003-02-17T08:00Z,
18418,Atlanta United FC,188454,Stian Gregersen,5,Defender,D,31.0,76.0,183.0,1995-05-17T07:00Z,
18418,Atlanta United FC,240783,Ronald Hernández,2,Defender,D,28.0,67.0,152.0,1997-09-21T07:00Z,https://a.espncdn.com/i/headshots/soccer/players/full/240783.png
18418,Atlanta United FC,243195,Enea Mihaj,4,Defender,D,28.0,73.0,172.0,1998-07-05T07:00Z,
18418,Atlanta United FC,303125,Pedro Amador,18,Defender,D,27.0,71.0,161.0,1998-12-18T08:00Z,
18418,Atlanta United FC,330082,Tomás Jacob,55,Defender,D,22.0,71.0,161.0,2004-04-20T07:00Z,
18418,Atlanta United FC,361498,Elías Baez,3,Defender,D,21.0,69.0,132.0,2004-10-18T07:00Z,
18418,Atlanta United FC,400742,Dominik Chong Qui,50,Defender,D,18.0,69.0,,2007-12-29T08:00Z,
18418,Atlanta United FC,419246,Toto Majub,41,Defender,D,20.0,,,2006-06-03T07:00Z,
18418,Atlanta United FC,185897,Alexey Miranchuk,59,Midfielder,M,30.0,72.0,161.0,1995-10-17T07:00Z,
18418,Atlanta United FC,243384,Steven Alzate,7,Midfielder,M,27.0,71.0,163.0,1998-09-08T07:00Z,
18418,Atlanta United FC,255802,Tristan Muyumba,8,Midfielder,M,29.0,65.0,117.0,1997-03-07T08:00Z,
18418,Atlanta United FC,290024,Will Reilly,28,Midfielder,M,23.0,70.0,159.0,2002-12-03T08:00Z,
18418,Atlanta United FC,304153,Jay Fortune,35,Midfielder,M,23.0,69.0,163.0,2002-12-30T08:00Z,https://a.espncdn.com/i/headshots/soccer/players/full/304153.png
18418,Atlanta United FC,308892,Luke Brennan,20,Midfielder,M,21.0,71.0,150.0,2005-02-24T08:00Z,
18418,Atlanta United FC,371431,Adrian Gill,16,Midfielder,M,20.0,70.0,,2006-01-03T08:00Z,
18418,Atlanta United FC,380821,Adyn Torres,23,Midfielder,M,18.0,69.0,152.0,2007-11-13T08:00Z,
18418,Atlanta United FC,402315,Cooper Sanchez,48,Midfielder,M,18.0,68.0,,2008-03-26T07:00Z,
18418,Atlanta United FC,416552,Santiago Pita,40,Midfielder,M,19.0,69.0,,2007-06-01T07:00Z,
18418,Atlanta United FC,48128,Miguel Almirón,10,Forward,F,32.0,69.0,152.0,1994-02-10T08:00Z,https://a.espncdn.com/i/headshots/soccer/players/full/48128.png
18418,Atlanta United FC,211678,Fafà Picault,22,Forward,F,35.0,68.0,139.0,1991-02-23T08:00Z,https://a.espncdn.com/i/headshots/soccer/players/full/211678.png
