date,player_id,player_name,team,home_team,away_team,market,market_type,entity,line,over_price,under_price,book,first_seen_at,last_seen_at,is_current,market_id,_merge_key
2026-06-11,,Logan Stankoven,,Carolina Hurricanes,Vegas Golden Knights,ASSISTS,assists,logan_stankoven,0.5,198,-276,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:assists:logan_stankoven:0.5,name::logan stankoven
2026-06-11,,Logan Stankoven,,Carolina Hurricanes,Vegas Golden Knights,GOALS,goals,logan_stankoven,0.5,200,-270,fanduel,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:goals:logan_stankoven:0.5,name::logan stankoven
2026-06-11,,Logan Stankoven,,Carolina Hurricanes,Vegas Golden Knights,POINTS,points,logan_stankoven,0.5,-124,-106,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:points:logan_stankoven:0.5,name::logan stankoven
2026-06-11,,Logan Stankoven,,Carolina Hurricanes,Vegas Golden Knights,SOG,sog,logan_stankoven,2.5,-105,-126,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:sog:logan_stankoven:2.5,name::logan stankoven
2026-06-11,,Mark Jankowski,,Carolina Hurricanes,Vegas Golden Knights,POINTS,points,mark_jankowski,0.5,376,-613,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:points:mark_jankowski:0.5,name::mark jankowski
2026-06-11,,Mark Stone,,Carolina Hurricanes,Vegas Golden Knights,ASSISTS,assists,mark_stone,0.5,148,-200,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:assists:mark_stone:0.5,name::mark stone
2026-06-11,,Mark Stone,,Carolina Hurricanes,Vegas Golden Knights,POINTS,points,mark_stone,0.5,-143,108,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:points:mark_stone:0.5,name::mark stone
2026-06-11,,Mark Stone,,Carolina Hurricanes,Vegas Golden Knights,SOG,sog,mark_stone,1.5,-171,128,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:sog:mark_stone:1.5,name::mark stone
2026-06-11,,Mitch Marner,,Carolina Hurricanes,Vegas Golden Knights,ASSISTS,assists,mitch_marner,0.5,-141,106,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:assists:mitch_marner:0.5,name::mitch marner
2026-06-11,,Mitch Marner,,Carolina Hurricanes,Vegas Golden Knights,GOALS,goals,mitch_marner,0.5,230,-320,fanduel,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:goals:mitch_marner:0.5,name::mitch marner
2026-06-11,,Mitch Marner,,Carolina Hurricanes,Vegas Golden Knights,POINTS,points,mitch_marner,1.5,189,-261,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:points:mitch_marner:1.5,name::mitch marner
2026-06-11,,Mitch Marner,,Carolina Hurricanes,Vegas Golden Knights,SOG,sog,mitch_marner,2.5,154,-208,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:sog:mitch_marner:2.5,name::mitch marner
2026-06-11,,Nikolaj Ehlers,,Carolina Hurricanes,Vegas Golden Knights,ASSISTS,assists,nikolaj_ehlers,0.5,145,-195,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:assists:nikolaj_ehlers:0.5,name::nikolaj ehlers
2026-06-11,,Nikolaj Ehlers,,Carolina Hurricanes,Vegas Golden Knights,GOALS,goals,nikolaj_ehlers,0.5,235,-340,fanduel,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:goals:nikolaj_ehlers:0.5,name::nikolaj ehlers
2026-06-11,,Nikolaj Ehlers,,Carolina Hurricanes,Vegas Golden Knights,POINTS,points,nikolaj_ehlers,0.5,-155,116,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:points:nikolaj_ehlers:0.5,name::nikolaj ehlers
2026-06-11,,Nikolaj Ehlers,,Carolina Hurricanes,Vegas Golden Knights,SOG,sog,nikolaj_ehlers,2.5,-105,-126,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:sog:nikolaj_ehlers:2.5,name::nikolaj ehlers
2026-06-11,,Noah Hanifin,,Carolina Hurricanes,Vegas Golden Knights,ASSISTS,assists,noah_hanifin,0.5,333,-520,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:assists:noah_hanifin:0.5,name::noah hanifin
2026-06-11,,Noah Hanifin,,Carolina Hurricanes,Vegas Golden Knights,POINTS,points,noah_hanifin,0.5,261,-382,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:points:noah_hanifin:0.5,name::noah hanifin
2026-06-11,,Noah Hanifin,,Carolina Hurricanes,Vegas Golden Knights,SOG,sog,noah_hanifin,0.5,-251,182,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:sog:noah_hanifin:0.5,name::noah hanifin
2026-06-11,,Pavel Dorofeyev,,Carolina Hurricanes,Vegas Golden Knights,ASSISTS,assists,pavel_dorofeyev,0.5,249,-361,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:assists:pavel_dorofeyev:0.5,name::pavel dorofeyev
2026-06-11,,Pavel Dorofeyev,,Carolina Hurricanes,Vegas Golden Knights,GOALS,goals,pavel_dorofeyev,0.5,250,-380,fanduel,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:goals:pavel_dorofeyev:0.5,name::pavel dorofeyev
2026-06-11,,Pavel Dorofeyev,,Carolina Hurricanes,Vegas Golden Knights,POINTS,points,pavel_dorofeyev,0.5,102,-135,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:points:pavel_dorofeyev:0.5,name::pavel dorofeyev
2026-06-11,,Pavel Dorofeyev,,Carolina Hurricanes,Vegas Golden Knights,SOG,sog,pavel_dorofeyev,2.5,115,-153,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:sog:pavel_dorofeyev:2.5,name::pavel dorofeyev
2026-06-11,,Rasmus Andersson,,Carolina Hurricanes,Vegas Golden Knights,ASSISTS,assists,rasmus_andersson,0.5,284,-425,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:assists:rasmus_andersson:0.5,name::rasmus andersson
2026-06-11,,Rasmus Andersson,,Carolina Hurricanes,Vegas Golden Knights,POINTS,points,rasmus_andersson,0.5,208,-292,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:points:rasmus_andersson:0.5,name::rasmus andersson
2026-06-11,,Rasmus Andersson,,Carolina Hurricanes,Vegas Golden Knights,SOG,sog,rasmus_andersson,1.5,124,-165,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:sog:rasmus_andersson:1.5,name::rasmus andersson
2026-06-11,,Sean Walker,,Carolina Hurricanes,Vegas Golden Knights,ASSISTS,assists,sean_walker,0.5,369,-597,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:assists:sean_walker:0.5,name::sean walker
