market,side,price,ev,prob,conf,home,away,totals_line
TOTAL,Over,-130.0,0.7108461538461537,0.967,0.46699999999999997,Vegas Golden Knights,Carolina Hurricanes,5.5
ML,Vegas Golden Knights,-105.0,0.030857142857142916,0.528,0.028000000000000025,Vegas Golden Knights,Carolina Hurricanes,5.5
