team,player_id,period,player,game_home,game_away,date,shots,goals,assists,points,blocks,saves,toi_sec,is_dressed
Vegas Golden Knights,8478483,1,Mitch Marner,Vegas Golden Knights,Carolina Hurricanes,2026-06-06,0.987,0.076,0.218,0.294,0.421,0.0,440.8444444444413,1
Vegas Golden Knights,8478403,1,Jack Eichel,Vegas Golden Knights,Carolina Hurricanes,2026-06-06,0.909,0.076,0.182,0.258,0.62,0.0,440.8444444444413,1
Vegas Golden Knights,8475913,1,Mark Stone,Vegas Golden Knights,Carolina Hurricanes,2026-06-06,1.066,0.331,0.10400000000000001,0.43500000000000005,0.275,0.0,440.8444444444413,1
Vegas Golden Knights,8477447,1,Shea Theodore,Vegas Golden Knights,Carolina Hurricanes,2026-06-06,0.934,0.046,0.247,0.293,0.856,0.0,536.2666666666604,1
Vegas Golden Knights,8478397,1,Rasmus Andersson,Vegas Golden Knights,Carolina Hurricanes,2026-06-06,0.772,0.041,0.18,0.221,0.639,0.0,536.2666666666604,1
Carolina Hurricanes,8478427,1,Sebastian Aho,Vegas Golden Knights,Carolina Hurricanes,2026-06-06,1.0170000000000001,0.099,0.211,0.31,0.277,0.0,432.6222222222198,1
Carolina Hurricanes,8482093,1,Seth Jarvis,Vegas Golden Knights,Carolina Hurricanes,2026-06-06,1.171,0.186,0.159,0.345,0.246,0.0,432.6222222222198,1
Carolina Hurricanes,8477940,1,Nikolaj Ehlers,Vegas Golden Knights,Carolina Hurricanes,2026-06-06,0.966,0.156,0.168,0.324,0.342,0.0,432.6222222222198,1
Carolina Hurricanes,8480817,1,K'Andre Miller,Vegas Golden Knights,Carolina Hurricanes,2026-06-06,1.029,0.061,0.189,0.25,0.8170000000000001,0.0,526.9777777777715,1
Carolina Hurricanes,8476958,1,Jaccob Slavin,Vegas Golden Knights,Carolina Hurricanes,2026-06-06,0.926,0.049,0.212,0.261,0.79,0.0,482.8888888888829,1
Vegas Golden Knights,8479394,1,Carter Hart,Vegas Golden Knights,Carolina Hurricanes,2026-06-06,0.0,0.0,0.0,0.0,0.0,11.59,1199.9999999999998,1
Carolina Hurricanes,8475883,1,Frederik Andersen,Vegas Golden Knights,Carolina Hurricanes,2026-06-06,0.0,0.0,0.0,0.0,0.0,10.707,1199.9999999999998,1
