market,side,price,ev,prob,conf,home,away,totals_line
TOTAL,Over,110.0,0.9761000000000001,0.941,0.44099999999999995,Carolina Hurricanes,Vegas Golden Knights,6.5
PL,Vegas Golden Knights +1.5,-205.0,0.06526829268292678,0.716,0.21599999999999997,Carolina Hurricanes,Vegas Golden Knights,6.5
ML,Vegas Golden Knights,130.0,0.15459999999999996,0.502,0.0020000000000000018,Carolina Hurricanes,Vegas Golden Knights,6.5
