market,side,price,ev,prob,conf,home,away,totals_line
TOTAL,Over,120.0,0.3244,0.602,0.10199999999999998,Montréal Canadiens,Carolina Hurricanes,5.5
ML,Montréal Canadiens,120.0,0.12860000000000016,0.513,0.013000000000000012,Montréal Canadiens,Carolina Hurricanes,5.5
