team_id,abbreviation,location,display_name,primary_color,secondary_color,logo_url,source_snapshot_date
598,FCU,1. FC Union Berlin,1. FC Union Berlin,#da0308,#d4d4d4,https://a.espncdn.com/i/teamlogos/soccer/500/598.png,2026-07-20
131,B04,Bayer Leverkusen,Bayer Leverkusen,#da0308,#f9fbfc,https://a.espncdn.com/i/teamlogos/soccer/500/131.png,2026-07-20
132,MUN,Bayern Munich,Bayern Munich,#dc052d,#1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/132.png,2026-07-20
124,DOR,Borussia Dortmund,Borussia Dortmund,#ffee00,#272726,https://a.espncdn.com/i/teamlogos/soccer/500/124.png,2026-07-20
268,BMG,Borussia Mönchengladbach,Borussia Mönchengladbach,#ffffff,#03915c,https://a.espncdn.com/i/teamlogos/soccer/500/268.png,2026-07-20
125,SGE,Eintracht Frankfurt,Eintracht Frankfurt,#ffffff,#272726,https://a.espncdn.com/i/teamlogos/soccer/500/125.png,2026-07-20
3841,FCA,FC Augsburg,FC Augsburg,#ffffff,#03915c,https://a.espncdn.com/i/teamlogos/soccer/500/3841.png,2026-07-20
122,KOE,FC Cologne,FC Cologne,#ffffff,#da0308,https://a.espncdn.com/i/teamlogos/soccer/500/122.png,2026-07-20
127,HSV,Hamburg SV,Hamburg SV,#1a26af,#1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/127.png,2026-07-20
2950,M05,Mainz,Mainz,#da0308,#000055,https://a.espncdn.com/i/teamlogos/soccer/500/2950.png,2026-07-20
11420,RBL,RB Leipzig,RB Leipzig,#ffffff,#740c14,https://a.espncdn.com/i/teamlogos/soccer/500/11420.png,2026-07-20
126,SCF,SC Freiburg,SC Freiburg,#da0308,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/126.png,2026-07-20
3307,SCP,SC Paderborn 07,SC Paderborn 07,#0000dd,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/3307.png,2026-07-20
10388,ELV,SV Elversberg,SV Elversberg,#000000,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/10388.png,2026-07-20
133,S04,Schalke 04,Schalke 04,#0000dd,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/133.png,2026-07-20
7911,TSG,TSG Hoffenheim,TSG Hoffenheim,#003399,#000055,https://a.espncdn.com/i/teamlogos/soccer/500/7911.png,2026-07-20
134,VFB,VfB Stuttgart,VfB Stuttgart,#ffffff,#da0308,https://a.espncdn.com/i/teamlogos/soccer/500/134.png,2026-07-20
137,SVW,Werder Bremen,Werder Bremen,#03915c,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/137.png,2026-07-20
