year,week,homeTeam,awayTeam,lines
2025,1,Air Force,Bucknell,"[{'provider': 'ESPN Bet', 'spread': -30.5, 'formattedSpread': 'Air Force -30.5', 'spreadOpen': -31, 'overUnder': 54.5, 'overUnderOpen': 56.5, 'homeMoneyline': -10000, 'awayMoneyline': 2500}]"
2025,1,Akron,Wyoming,"[{'provider': 'DraftKings', 'spread': 8.5, 'formattedSpread': 'Wyoming -8.5', 'spreadOpen': 8.5, 'overUnder': 49.5, 'overUnderOpen': 49.5, 'homeMoneyline': 260, 'awayMoneyline': -325}, {'provider': 'ESPN Bet', 'spread': 4.5, 'formattedSpread': 'Wyoming -4.5', 'spreadOpen': 7.5, 'overUnder': 47.5, 'overUnderOpen': 49.5, 'homeMoneyline': 170, 'awayMoneyline': -200}, {'provider': 'Bovada', 'spread': 5, 'formattedSpread': 'Wyoming -5.0', 'spreadOpen': 9.5, 'overUnder': 48, 'overUnderOpen': 49.5, 'homeMoneyline': 250, 'awayMoneyline': -300}]"
2025,1,App State,Georgia Southern,"[{""provider"":""FanDuel"",""spread"":7.5,""formattedSpread"":""App State +7.5"",""overUnder"":59.5,""homeMoneyline"":225,""awayMoneyline"":-280},{""provider"":""Paddy Power"",""spread"":null,""formattedSpread"":"""",""overUnder"":null,""homeMoneyline"":220,""awayMoneyline"":-275},{""provider"":""Betsson"",""spread"":7.5,""formattedSpread"":""App State +7.5"",""overUnder"":59.5,""homeMoneyline"":213,""awayMoneyline"":-294},{""provider"":""Nordic Bet"",""spread"":7.5,""formattedSpread"":""App State +7.5"",""overUnder"":59.5,""homeMoneyline"":213,""awayMoneyline"":-294},{""provider"":""1xBet"",""spread"":7.5,""formattedSpread"":""App State +7.5"",""overUnder"":59.5,""homeMoneyline"":null,""awayMoneyline"":null},{""provider"":""Caesars"",""spread"":7.0,""formattedSpread"":""App State +7.0"",""overUnder"":59.5,""homeMoneyline"":230,""awayMoneyline"":-280},{""provider"":""Bovada"",""spread"":7.0,""formattedSpread"":""App State +7.0"",""overUnder"":59.5,""homeMoneyline"":220,""awayMoneyline"":-270},{""provider"":""GTbets"",""spread"":7.0,""formattedSpread"":""App State +7.0"",""overUnder"":59.5,""homeMoneyline"":215,""awayMoneyline"":-265},{""provider"":""theScore Bet"",""spread"":7.5,""formattedSpread"":""App State +7.5"",""overUnder"":59.5,""homeMoneyline"":225,""awayMoneyline"":-275},{""provider"":""Ladbrokes"",""spread"":7.0,""formattedSpread"":""App State +7.0"",""overUnder"":59.5,""homeMoneyline"":220,""awayMoneyline"":-278},{""provider"":""BetMGM"",""spread"":7.0,""formattedSpread"":""App State +7.0"",""overUnder"":59.5,""homeMoneyline"":220,""awayMoneyline"":-275},{""provider"":""Coral"",""spread"":7.0,""formattedSpread"":""App State +7.0"",""overUnder"":59.5,""homeMoneyline"":220,""awayMoneyline"":-278},{""provider"":""DraftKings"",""spread"":7.0,""formattedSpread"":""App State +7.0"",""overUnder"":59.5,""homeMoneyline"":230,""awayMoneyline"":-285},{""provider"":""BetOnline.ag"",""spread"":7.0,""formattedSpread"":""App State +7.0"",""overUnder"":59.5,""homeMoneyline"":215,""awayMoneyline"":-260},{""provider"":""LowVig.ag"",""spread"":7.0,""formattedSpread"":""App State +7.0"",""overUnder"":59.5,""homeMoneyline"":215,""awayMoneyline"":-260},{""provider"":""Everygame"",""spread"":7.0,""formattedSpread"":""App State +7.0"",""overUnder"":59.5,""homeMoneyline"":220,""awayMoneyline"":-260},{""provider"":""BetUS"",""spread"":7.0,""formattedSpread"":""App State +7.0"",""overUnder"":59.5,""homeMoneyline"":223,""awayMoneyline"":-265},{""provider"":""Pinnacle"",""spread"":7.5,""formattedSpread"":""App State +7.5"",""overUnder"":60.0,""homeMoneyline"":222,""awayMoneyline"":-269},{""provider"":""Unibet (UK)"",""spread"":null,""formattedSpread"":"""",""overUnder"":null,""homeMoneyline"":225,""awayMoneyline"":-286},{""provider"":""Betway"",""spread"":null,""formattedSpread"":"""",""overUnder"":null,""homeMoneyline"":230,""awayMoneyline"":-275},{""provider"":""BetAnything"",""spread"":7.0,""formattedSpread"":""App State +7.0"",""overUnder"":59.5,""homeMoneyline"":220,""awayMoneyline"":-265},{""provider"":""Hard Rock Bet"",""spread"":7.5,""formattedSpread"":""App State +7.5"",""overUnder"":59.5,""homeMoneyline"":225,""awayMoneyline"":-300},{""provider"":""Fanatics"",""spread"":7.0,""formattedSpread"":""App State +7.0"",""overUnder"":60.0,""homeMoneyline"":220,""awayMoneyline"":-275},{""provider"":""Marathon Bet"",""spread"":null,""formattedSpread"":"""",""overUnder"":null,""homeMoneyline"":210,""awayMoneyline"":-286},{""provider"":""LeoVegas"",""spread"":7.5,""formattedSpread"":""App State +7.5"",""overUnder"":59.5,""homeMoneyline"":220,""awayMoneyline"":-278},{""provider"":""Unibet (SE)"",""spread"":7.5,""formattedSpread"":""App State +7.5"",""overUnder"":59.5,""homeMoneyline"":215,""awayMoneyline"":-278},{""provider"":""LiveScore Bet"",""spread"":null,""formattedSpread"":"""",""overUnder"":59.5,""homeMoneyline"":null,""awayMoneyline"":null},{""provider"":""betPARX"",""spread"":7.5,""formattedSpread"":""App State +7.5"",""overUnder"":null,""homeMoneyline"":220,""awayMoneyline"":-278},{""provider"":""LeoVegas (SE)"",""spread"":7.5,""formattedSpread"":""App State +7.5"",""overUnder"":59.5,""homeMoneyline"":210,""awayMoneyline"":-278},{""provider"":""Bally Bet"",""spread"":7.5,""formattedSpread"":""App State +7.5"",""overUnder"":null,""homeMoneyline"":220,""awayMoneyline"":-278},{""provider"":""BetRivers"",""spread"":7.5,""formattedSpread"":""App State +7.5"",""overUnder"":null,""homeMoneyline"":215,""awayMoneyline"":-278},{""provider"":""Unibet (NL)"",""spread"":7.5,""formattedSpread"":""App State +7.5"",""overUnder"":59.5,""homeMoneyline"":215,""awayMoneyline"":-278},{""provider"":""Grosvenor"",""spread"":null,""formattedSpread"":"""",""overUnder"":59.5,""homeMoneyline"":null,""awayMoneyline"":null},{""provider"":""Virgin Bet"",""spread"":null,""formattedSpread"":"""",""overUnder"":59.5,""homeMoneyline"":null,""awayMoneyline"":null},{""provider"":""Casumo"",""spread"":null,""formattedSpread"":"""",""overUnder"":59.5,""homeMoneyline"":null,""awayMoneyline"":null},{""provider"":""BoyleSports"",""spread"":7.5,""formattedSpread"":""App State +7.5"",""overUnder"":null,""homeMoneyline"":null,""awayMoneyline"":null},{""provider"":""Betfair"",""spread"":null,""formattedSpread"":"""",""overUnder"":null,""homeMoneyline"":235,""awayMoneyline"":-312},{""provider"":""Betfair"",""spread"":null,""formattedSpread"":"""",""overUnder"":null,""homeMoneyline"":235,""awayMoneyline"":-312}]"
2025,1,Arizona,Hawai'i,"[{'provider': 'DraftKings', 'spread': -13.5, 'formattedSpread': 'Arizona -13.5', 'spreadOpen': -13.5, 'overUnder': 55.5, 'overUnderOpen': 55.5, 'homeMoneyline': -550, 'awayMoneyline': 410}, {'provider': 'ESPN Bet', 'spread': -17.5, 'formattedSpread': 'Arizona -17.5', 'spreadOpen': -13.5, 'overUnder': 53.5, 'overUnderOpen': 56.5, 'homeMoneyline': -900, 'awayMoneyline': 550}, {'provider': 'Bovada', 'spread': -18, 'formattedSpread': 'Arizona -18.0', 'spreadOpen': -10.5, 'overUnder': 53.5, 'overUnderOpen': 53.5, 'homeMoneyline': -575, 'awayMoneyline': 400}]"
2025,1,Arizona State,Northern Arizona,"[{'provider': 'ESPN Bet', 'spread': -28.5, 'formattedSpread': 'Arizona State -28.5', 'spreadOpen': -28.5, 'overUnder': 52.5, 'overUnderOpen': 52.5, 'homeMoneyline': None, 'awayMoneyline': None}]"
2025,1,Arkansas,Alabama A&M,[]
2025,1,Arkansas State,Southeast Missouri State,"[{'provider': 'ESPN Bet', 'spread': -10.5, 'formattedSpread': 'Arkansas State -10.5', 'spreadOpen': -10.5, 'overUnder': 59.5, 'overUnderOpen': 59.5, 'homeMoneyline': -400, 'awayMoneyline': 300}]"
2025,1,Army,Tarleton State,"[{'provider': 'ESPN Bet', 'spread': -14.5, 'formattedSpread': 'Army -14.5', 'spreadOpen': -13.5, 'overUnder': 47.5, 'overUnderOpen': 48.5, 'homeMoneyline': -700, 'awayMoneyline': 450}, {'provider': 'Bovada', 'spread': -13.5, 'formattedSpread': 'Army -13.5', 'spreadOpen': -16.5, 'overUnder': 47.5, 'overUnderOpen': 51.5, 'homeMoneyline': -750, 'awayMoneyline': 500}]"
2025,1,Army,UConn,"[{""provider"":""DraftKings"",""spread"":-9.5,""formattedSpread"":""Army -9.5"",""overUnder"":43.5,""homeMoneyline"":-340,""awayMoneyline"":270},{""provider"":""BetOnline.ag"",""spread"":-9.0,""formattedSpread"":""Army -9.0"",""overUnder"":44.0,""homeMoneyline"":-330,""awayMoneyline"":265},{""provider"":""LowVig.ag"",""spread"":-9.0,""formattedSpread"":""Army -9.0"",""overUnder"":44.0,""homeMoneyline"":-330,""awayMoneyline"":265},{""provider"":""GTbets"",""spread"":-9.0,""formattedSpread"":""Army -9.0"",""overUnder"":43.5,""homeMoneyline"":-330,""awayMoneyline"":265},{""provider"":""FanDuel"",""spread"":-9.5,""formattedSpread"":""Army -9.5"",""overUnder"":43.5,""homeMoneyline"":-340,""awayMoneyline"":275},{""provider"":""Paddy Power"",""spread"":null,""formattedSpread"":"""",""overUnder"":null,""homeMoneyline"":-350,""awayMoneyline"":270},{""provider"":""Fanatics"",""spread"":-9.5,""formattedSpread"":""Army -9.5"",""overUnder"":43.5,""homeMoneyline"":-340,""awayMoneyline"":265},{""provider"":""1xBet"",""spread"":-9.5,""formattedSpread"":""Army -9.5"",""overUnder"":43.5,""homeMoneyline"":null,""awayMoneyline"":null},{""provider"":""BetMGM"",""spread"":-9.5,""formattedSpread"":""Army -9.5"",""overUnder"":43.5,""homeMoneyline"":-325,""awayMoneyline"":260},{""provider"":""Coral"",""spread"":-9.5,""formattedSpread"":""Army -9.5"",""overUnder"":43.5,""homeMoneyline"":-333,""awayMoneyline"":260},{""provider"":""Ladbrokes"",""spread"":-9.5,""formattedSpread"":""Army -9.5"",""overUnder"":43.5,""homeMoneyline"":-333,""awayMoneyline"":260},{""provider"":""Caesars"",""spread"":-9.5,""formattedSpread"":""Army -9.5"",""overUnder"":43.5,""homeMoneyline"":-335,""awayMoneyline"":265},{""provider"":""Nordic Bet"",""spread"":-9.5,""formattedSpread"":""Army -9.5"",""overUnder"":44.0,""homeMoneyline"":-370,""awayMoneyline"":258},{""provider"":""Betsson"",""spread"":-9.5,""formattedSpread"":""Army -9.5"",""overUnder"":44.0,""homeMoneyline"":-370,""awayMoneyline"":258},{""provider"":""theScore Bet"",""spread"":-9.5,""formattedSpread"":""Army -9.5"",""overUnder"":43.5,""homeMoneyline"":-340,""awayMoneyline"":270},{""provider"":""Unibet (UK)"",""spread"":null,""formattedSpread"":"""",""overUnder"":null,""homeMoneyline"":-333,""awayMoneyline"":260},{""provider"":""Betway"",""spread"":null,""formattedSpread"":"""",""overUnder"":null,""homeMoneyline"":-330,""awayMoneyline"":265},{""provider"":""BetUS"",""spread"":-9.5,""formattedSpread"":""Army -9.5"",""overUnder"":44.0,""homeMoneyline"":-330,""awayMoneyline"":270},{""provider"":""Everygame"",""spread"":-9.0,""formattedSpread"":""Army -9.0"",""overUnder"":44.0,""homeMoneyline"":-320,""awayMoneyline"":260},{""provider"":""Hard Rock Bet"",""spread"":-8.5,""formattedSpread"":""Army -8.5"",""overUnder"":43.5,""homeMoneyline"":-350,""awayMoneyline"":260},{""provider"":""BetAnything"",""spread"":-9.0,""formattedSpread"":""Army -9.0"",""overUnder"":44.0,""homeMoneyline"":-330,""awayMoneyline"":260},{""provider"":""Unibet (SE)"",""spread"":-9.0,""formattedSpread"":""Army -9.0"",""overUnder"":43.0,""homeMoneyline"":-335,""awayMoneyline"":260},{""provider"":""Virgin Bet"",""spread"":null,""formattedSpread"":"""",""overUnder"":43.0,""homeMoneyline"":null,""awayMoneyline"":null},{""provider"":""Bally Bet"",""spread"":-9.0,""formattedSpread"":""Army -9.0"",""overUnder"":null,""homeMoneyline"":-335,""awayMoneyline"":265},{""provider"":""betPARX"",""spread"":-9.0,""formattedSpread"":""Army -9.0"",""overUnder"":null,""homeMoneyline"":-335,""awayMoneyline"":265},{""provider"":""Casumo"",""spread"":null,""formattedSpread"":"""",""overUnder"":43.0,""homeMoneyline"":null,""awayMoneyline"":null},{""provider"":""BetRivers"",""spread"":-9.0,""formattedSpread"":""Army -9.0"",""overUnder"":null,""homeMoneyline"":-335,""awayMoneyline"":260},{""provider"":""LeoVegas"",""spread"":-9.0,""formattedSpread"":""Army -9.0"",""overUnder"":43.0,""homeMoneyline"":-335,""awayMoneyline"":265},{""provider"":""Grosvenor"",""spread"":null,""formattedSpread"":"""",""overUnder"":43.0,""homeMoneyline"":null,""awayMoneyline"":null},{""provider"":""LiveScore Bet"",""spread"":null,""formattedSpread"":"""",""overUnder"":43.0,""homeMoneyline"":null,""awayMoneyline"":null},{""provider"":""LeoVegas (SE)"",""spread"":-9.0,""formattedSpread"":""Army -9.0"",""overUnder"":43.0,""homeMoneyline"":-345,""awayMoneyline"":260},{""provider"":""Unibet (NL)"",""spread"":-9.0,""formattedSpread"":""Army -9.0"",""overUnder"":43.0,""homeMoneyline"":-335,""awayMoneyline"":260},{""provider"":""Bovada"",""spread"":-9.5,""formattedSpread"":""Army -9.5"",""overUnder"":44.0,""homeMoneyline"":-330,""awayMoneyline"":265},{""provider"":""Pinnacle"",""spread"":-9.0,""formattedSpread"":""Army -9.0"",""overUnder"":44.0,""homeMoneyline"":-333,""awayMoneyline"":267},{""provider"":""Marathon Bet"",""spread"":null,""formattedSpread"":"""",""overUnder"":null,""homeMoneyline"":-333,""awayMoneyline"":240},{""provider"":""Fliff"",""spread"":-9.5,""formattedSpread"":""Army -9.5"",""overUnder"":43.5,""homeMoneyline"":-350,""awayMoneyline"":265},{""provider"":""BoyleSports"",""spread"":-7.5,""formattedSpread"":""Army -7.5"",""overUnder"":null,""homeMoneyline"":null,""awayMoneyline"":null},{""provider"":""Betfair"",""spread"":null,""formattedSpread"":"""",""overUnder"":null,""homeMoneyline"":-333,""awayMoneyline"":260},{""provider"":""Betfair"",""spread"":null,""formattedSpread"":"""",""overUnder"":null,""homeMoneyline"":-333,""awayMoneyline"":260},{""provider"":""Betfair Sportsbook"",""spread"":null,""formattedSpread"":"""",""overUnder"":null,""homeMoneyline"":-345,""awayMoneyline"":270}]"
2025,1,BYU,Georgia Tech,"[{""provider"":""FanDuel"",""spread"":-3.5,""formattedSpread"":""BYU -3.5"",""overUnder"":55.5,""homeMoneyline"":-174,""awayMoneyline"":144},{""provider"":""Paddy Power"",""spread"":null,""formattedSpread"":"""",""overUnder"":null,""homeMoneyline"":-175,""awayMoneyline"":140},{""provider"":""1xBet"",""spread"":-3.5,""formattedSpread"":""BYU -3.5"",""overUnder"":56.5,""homeMoneyline"":null,""awayMoneyline"":null},{""provider"":""Fanatics"",""spread"":-4.0,""formattedSpread"":""BYU -4.0"",""overUnder"":56.5,""homeMoneyline"":-180,""awayMoneyline"":150},{""provider"":""DraftKings"",""spread"":-4.0,""formattedSpread"":""BYU -4.0"",""overUnder"":55.5,""homeMoneyline"":-180,""awayMoneyline"":150},{""provider"":""GTbets"",""spread"":-4.0,""formattedSpread"":""BYU -4.0"",""overUnder"":56.0,""homeMoneyline"":-180,""awayMoneyline"":150},{""provider"":""Caesars"",""spread"":-3.5,""formattedSpread"":""BYU -3.5"",""overUnder"":56.0,""homeMoneyline"":-182,""awayMoneyline"":152},{""provider"":""BetOnline.ag"",""spread"":-3.5,""formattedSpread"":""BYU -3.5"",""overUnder"":56.0,""homeMoneyline"":-175,""awayMoneyline"":153},{""provider"":""LowVig.ag"",""spread"":-3.5,""formattedSpread"":""BYU -3.5"",""overUnder"":56.0,""homeMoneyline"":-175,""awayMoneyline"":153},{""provider"":""Betsson"",""spread"":-3.5,""formattedSpread"":""BYU -3.5"",""overUnder"":56.0,""homeMoneyline"":-192,""awayMoneyline"":146},{""provider"":""Nordic Bet"",""spread"":-3.5,""formattedSpread"":""BYU -3.5"",""overUnder"":56.0,""homeMoneyline"":-192,""awayMoneyline"":146},{""provider"":""theScore Bet"",""spread"":-4.5,""formattedSpread"":""BYU -4.5"",""overUnder"":55.5,""homeMoneyline"":-185,""awayMoneyline"":155},{""provider"":""Coral"",""spread"":-4.0,""formattedSpread"":""BYU -4.0"",""overUnder"":56.5,""homeMoneyline"":-189,""awayMoneyline"":150},{""provider"":""BetMGM"",""spread"":-4.0,""formattedSpread"":""BYU -4.0"",""overUnder"":56.5,""homeMoneyline"":-185,""awayMoneyline"":155},{""provider"":""Ladbrokes"",""spread"":-4.0,""formattedSpread"":""BYU -4.0"",""overUnder"":56.5,""homeMoneyline"":-189,""awayMoneyline"":150},{""provider"":""Unibet (UK)"",""spread"":null,""formattedSpread"":"""",""overUnder"":null,""homeMoneyline"":-185,""awayMoneyline"":150},{""provider"":""Betway"",""spread"":null,""formattedSpread"":"""",""overUnder"":null,""homeMoneyline"":-180,""awayMoneyline"":150},{""provider"":""BetUS"",""spread"":-4.0,""formattedSpread"":""BYU -4.0"",""overUnder"":56.0,""homeMoneyline"":-180,""awayMoneyline"":155},{""provider"":""Everygame"",""spread"":-4.0,""formattedSpread"":""BYU -4.0"",""overUnder"":56.0,""homeMoneyline"":-175,""awayMoneyline"":155},{""provider"":""Hard Rock Bet"",""spread"":-3.5,""formattedSpread"":""BYU -3.5"",""overUnder"":56.5,""homeMoneyline"":-180,""awayMoneyline"":150},{""provider"":""BetAnything"",""spread"":-4.0,""formattedSpread"":""BYU -4.0"",""overUnder"":56.0,""homeMoneyline"":-180,""awayMoneyline"":155},{""provider"":""Unibet (SE)"",""spread"":-4.0,""formattedSpread"":""BYU -4.0"",""overUnder"":55.5,""homeMoneyline"":-175,""awayMoneyline"":135},{""provider"":""Bally Bet"",""spread"":-4.0,""formattedSpread"":""BYU -4.0"",""overUnder"":null,""homeMoneyline"":-175,""awayMoneyline"":143},{""provider"":""Grosvenor"",""spread"":null,""formattedSpread"":"""",""overUnder"":55.5,""homeMoneyline"":null,""awayMoneyline"":null},{""provider"":""LeoVegas"",""spread"":-4.0,""formattedSpread"":""BYU -4.0"",""overUnder"":55.5,""homeMoneyline"":-175,""awayMoneyline"":143},{""provider"":""BetRivers"",""spread"":-4.0,""formattedSpread"":""BYU -4.0"",""overUnder"":null,""homeMoneyline"":-175,""awayMoneyline"":135},{""provider"":""Unibet (NL)"",""spread"":-4.0,""formattedSpread"":""BYU -4.0"",""overUnder"":55.5,""homeMoneyline"":-175,""awayMoneyline"":135},{""provider"":""Casumo"",""spread"":null,""formattedSpread"":"""",""overUnder"":55.5,""homeMoneyline"":null,""awayMoneyline"":null},{""provider"":""betPARX"",""spread"":-4.0,""formattedSpread"":""BYU -4.0"",""overUnder"":null,""homeMoneyline"":-175,""awayMoneyline"":143},{""provider"":""LeoVegas (SE)"",""spread"":-4.0,""formattedSpread"":""BYU -4.0"",""overUnder"":55.5,""homeMoneyline"":-175,""awayMoneyline"":133},{""provider"":""Bovada"",""spread"":-4.0,""formattedSpread"":""BYU -4.0"",""overUnder"":56.0,""homeMoneyline"":-175,""awayMoneyline"":150},{""provider"":""Pinnacle"",""spread"":-3.5,""formattedSpread"":""BYU -3.5"",""overUnder"":56.0,""homeMoneyline"":-177,""awayMoneyline"":152},{""provider"":""Marathon Bet"",""spread"":null,""formattedSpread"":"""",""overUnder"":null,""homeMoneyline"":-179,""awayMoneyline"":136},{""provider"":""Fliff"",""spread"":-5.5,""formattedSpread"":""BYU -5.5"",""overUnder"":56.0,""homeMoneyline"":-185,""awayMoneyline"":145},{""provider"":""BoyleSports"",""spread"":-3.5,""formattedSpread"":""BYU -3.5"",""overUnder"":null,""homeMoneyline"":null,""awayMoneyline"":null},{""provider"":""Betfair"",""spread"":null,""formattedSpread"":"""",""overUnder"":null,""homeMoneyline"":-172,""awayMoneyline"":152},{""provider"":""Betfair"",""spread"":null,""formattedSpread"":"""",""overUnder"":null,""homeMoneyline"":-172,""awayMoneyline"":152},{""provider"":""Betfair Sportsbook"",""spread"":null,""formattedSpread"":"""",""overUnder"":null,""homeMoneyline"":-175,""awayMoneyline"":140}]"
