game_id,season,week,home_team,away_team,home_score_mean,away_score_mean,margin_mean,total_mean,margin_stdev,total_stdev,home_win_rate,seeds_used,profile_name,rating_source,generated_at
401862710,2026,3,Old Dominion,East Carolina,29.65,27.983,1.667,57.633,14.023,13.098,0.5533,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:51:08.212688+00:00
401862771,2026,3,Florida Atlantic,Florida International,30.907,29.743,1.163,60.65,13.272,13.087,0.5567,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:51:13.261948+00:00
401871047,2026,3,Missouri State,Marshall,30.35,29.887,0.463,60.237,13.726,12.435,0.5533,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:51:18.519329+00:00
401861963,2026,3,Southern Miss,UConn,29.957,29.507,0.45,59.463,14.038,12.883,0.5567,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:51:23.665847+00:00
401856800,2026,3,UCF,Georgia State,29.677,26.813,2.863,56.49,14.073,12.317,0.5867,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:51:28.586152+00:00
401866423,2026,3,South Alabama,Ohio,30.273,29.57,0.703,59.843,13.31,12.713,0.55,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:51:33.727913+00:00
401864443,2026,3,Middle Tennessee,Nevada,29.823,27.337,2.487,57.16,14.129,12.702,0.5667,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:51:38.778720+00:00
401862773,2026,3,Rice,Western Michigan,26.963,28.247,-1.283,55.21,13.641,12.773,0.4367,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:51:44.083857+00:00
401869948,2026,3,Jacksonville State,Georgia Southern,30.647,28.917,1.73,59.563,13.682,12.661,0.5667,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:51:49.144869+00:00
401856687,2026,3,Auburn,Florida,29.923,26.183,3.74,56.107,13.911,13.238,0.6367,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:51:54.298242+00:00
401856802,2026,3,Virginia,West Virginia,30.537,25.947,4.59,56.483,13.314,13.539,0.64,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:51:59.332559+00:00
401858453,2026,3,Notre Dame,Michigan State,33.61,27.333,6.277,60.943,13.542,12.764,0.6633,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:52:04.362485+00:00
401858232,2026,3,Maryland,Virginia Tech,29.957,28.0,1.957,57.957,13.671,13.3,0.5567,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:52:09.598843+00:00
401856795,2026,3,Colorado State,BYU,29.523,29.52,0.003,59.043,13.616,12.31,0.5167,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:52:14.698310+00:00
401856796,2026,3,Northwestern,Colorado,29.597,28.2,1.397,57.797,14.47,13.268,0.54,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:52:19.832960+00:00
401856688,2026,3,Ole Miss,LSU,31.51,27.91,3.6,59.42,13.216,12.654,0.6033,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:52:24.856828+00:00
401856690,2026,3,Oklahoma,New Mexico,27.273,25.467,1.807,52.74,13.932,11.769,0.5533,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:52:29.884089+00:00
401856692,2026,3,Tennessee,Kennesaw State,32.277,29.523,2.753,61.8,12.992,12.848,0.5833,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:52:34.886718+00:00
401856799,2026,3,TCU,Arkansas State,30.547,27.907,2.64,58.453,13.659,12.762,0.5667,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:52:39.891850+00:00
401856693,2026,3,Texas,UTSA,29.883,29.617,0.267,59.5,14.404,12.717,0.5233,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:52:44.794237+00:00
401862776,2026,3,Louisiana,UAB,29.773,28.817,0.957,58.59,13.806,13.081,0.5467,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:52:49.745658+00:00
401860887,2026,3,San Diego State,James Madison,27.49,26.18,1.31,53.67,13.794,12.391,0.5367,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:52:54.745322+00:00
401860889,2026,3,Texas State,North Texas,32.883,30.517,2.367,63.4,13.552,12.783,0.5767,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:52:59.754487+00:00
401856793,2026,3,Arizona,Northern Illinois,30.413,26.727,3.687,57.14,14.136,13.323,0.62,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:53:04.725103+00:00
401864507,2026,3,Sacramento State,North Dakota State,24.997,23.347,1.65,48.343,13.393,12.4,0.53,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:53:09.569343+00:00
401860888,2026,3,San José State,Fresno State,29.157,29.393,-0.237,58.55,13.84,13.096,0.4767,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:53:14.403563+00:00
401858458,2026,3,UCLA,Purdue,29.543,29.54,0.003,59.083,14.068,12.604,0.5033,300,ncaaf_v2,cfbd_ppa_season_2025_fallback_for_2026,2026-07-21T14:53:19.505445+00:00
