team_id,team,player_id,player_name,jersey,position,position_abbreviation,age,height,weight,date_of_birth,headshot_url
598,1. FC Union Berlin,386438,David Preu,17,Forward,F,21,68.0,159.0,2004-10-26T07:00Z,
132,Bayern Munich,308843,Armindo Sieb,,Forward,F,23,69.0,163.0,2003-02-17T08:00Z,
132,Bayern Munich,311571,Bryan Zaragoza,,Forward,F,24,65.0,132.0,2001-09-09T07:00Z,
132,Bayern Munich,84774,Manuel Neuer,1,Goalkeeper,G,40,76.0,203.0,1986-03-27T08:00Z,
132,Bayern Munich,113733,Sven Ulreich,26,Goalkeeper,G,37,76.0,192.0,1988-08-03T07:00Z,
132,Bayern Munich,205750,Alexander Nübel,,Goalkeeper,G,29,76.0,190.0,1996-09-30T07:00Z,
132,Bayern Munich,323790,Jonas Urbig,40,Goalkeeper,G,22,74.0,183.0,2003-08-08T07:00Z,
132,Bayern Munich,388141,Leon Klanac,48,Goalkeeper,G,19,73.0,174.0,2007-03-01T08:00Z,
132,Bayern Munich,409827,Jannis Bärtl,35,Goalkeeper,G,20,72.0,161.0,2006-06-24T07:00Z,
132,Bayern Munich,410636,Leonard Prescott,37,Goalkeeper,G,16,74.0,,2009-09-23T07:00Z,
132,Bayern Munich,97111,Hiroki Ito,21,Defender,D,27,74.0,183.0,1999-05-12T07:00Z,
132,Bayern Munich,157688,Kim Min-Jae,3,Defender,D,29,75.0,179.0,1996-11-15T08:00Z,
132,Bayern Munich,188052,Jonathan Tah,4,Defender,D,30,77.0,205.0,1996-02-11T08:00Z,
132,Bayern Munich,222793,Dayot Upamecano,2,Defender,D,27,73.0,196.0,1998-10-27T08:00Z,
132,Bayern Munich,236721,Alphonso Davies,19,Defender,D,25,73.0,170.0,2000-11-02T08:00Z,https://a.espncdn.com/i/headshots/soccer/players/full/236721.png
132,Bayern Munich,276329,Josip Stanisic,44,Defender,D,26,73.0,170.0,2000-04-02T08:00Z,
132,Bayern Munich,287225,Sacha Boey,,Defender,D,25,70.0,152.0,2000-09-13T07:00Z,
132,Bayern Munich,357221,Tarek Buchmann,,Defender,D,21,74.0,172.0,2005-02-28T08:00Z,
132,Bayern Munich,388224,Vincent Manuba,41,Defender,D,21,71.0,172.0,2005-07-01T07:00Z,
132,Bayern Munich,405586,Cassiano Kiala,30,Defender,D,17,73.0,161.0,2009-01-11T08:00Z,
132,Bayern Munich,416461,Deniz Ofli,34,Defender,D,19,69.0,,2007-03-29T07:00Z,
132,Bayern Munich,420811,Filip Pavic,43,Defender,D,16,,,2010-01-19T08:00Z,
132,Bayern Munich,169189,Konrad Laimer,27,Midfielder,M,29,71.0,159.0,1997-05-27T07:00Z,
132,Bayern Munich,190161,Joshua Kimmich,6,Midfielder,M,31,70.0,163.0,1995-02-08T08:00Z,
132,Bayern Munich,224144,João Palhinha,,Midfielder,M,31,75.0,183.0,1995-07-09T07:00Z,
132,Bayern Munich,286831,Michael Olise,17,Midfielder,M,24,71.0,172.0,2001-12-12T08:00Z,
132,Bayern Munich,303821,Jamal Musiala,10,Midfielder,M,23,73.0,163.0,2003-02-26T08:00Z,
132,Bayern Munich,304572,Ismael Saibari,,Midfielder,M,25,73.0,179.0,2001-01-28T08:00Z,https://a.espncdn.com/i/headshots/soccer/players/full/304572.png
