team_id,team_name,conference,season,total_ppa,total_passing_ppa,total_receiving_ppa,total_rushing_ppa,percent_ppa,percent_passing_ppa,percent_receiving_ppa,percent_rushing_ppa,usage,passing_usage,receiving_usage,rushing_usage,transfer_adjusted_ppa,transfer_adjusted_usage,returning_starter_estimate,source_system,source_snapshot_date
103,Boston College,ACC,2026,45.8,8.6,41.9,-4.8,0.156,0.083,0.232,-0.623,0.095,0.006,0.213,0.078,45.9,0.1,1.716,cfbd,2026-08-26
25,California,ACC,2026,188.8,104.3,88.9,-4.4,0.583,0.887,0.43,0.0,0.53,0.972,0.311,0.142,189.4,0.56,6.413,cfbd,2026-08-26
228,Clemson,ACC,2026,124.3,14.1,121.4,-11.2,0.414,0.141,0.712,-0.377,0.373,0.175,0.658,0.304,124.2,0.368,4.554,cfbd,2026-08-26
150,Duke,ACC,2026,75.6,6.7,45.0,23.9,0.171,0.041,0.203,0.432,0.22,0.004,0.227,0.488,76,0.24,1.881,cfbd,2026-08-26
52,Florida State,ACC,2026,162.9,13.2,114.2,35.5,0.401,0.125,0.652,0.282,0.305,0.06,0.548,0.333,161.7,0.245,4.411,cfbd,2026-08-26
59,Georgia Tech,ACC,2026,47.7,0.0,19.0,28.7,0.126,0.0,0.113,0.348,0.145,0.0,0.137,0.275,48.4,0.18,1.386,cfbd,2026-08-26
97,Louisville,ACC,2026,92.3,0.0,25.9,66.4,0.348,0.0,0.182,0.846,0.268,0.0,0.236,0.608,93.1,0.308,3.828,cfbd,2026-08-26
2390,Miami,ACC,2026,167.9,9.0,103.6,55.3,0.369,0.055,0.449,0.914,0.491,0.02,0.528,0.904,167.4,0.466,4.059,cfbd,2026-08-26
152,NC State,ACC,2026,233.7,127.4,51.8,54.5,0.599,0.931,0.26,1.015,0.622,0.974,0.285,0.549,233.9,0.632,6.589,cfbd,2026-08-26
153,North Carolina,ACC,2026,46.9,4.8,34.0,8.1,0.278,0.095,0.328,0.536,0.316,0.027,0.439,0.53,46.2,0.281,3.058,cfbd,2026-08-26
221,Pittsburgh,ACC,2026,149.9,74.5,51.9,23.4,0.397,0.586,0.24,0.672,0.505,0.684,0.262,0.534,149.6,0.49,4.367,cfbd,2026-08-26
2567,SMU,ACC,2026,219.8,144.4,75.1,0.3,0.569,0.966,0.372,0.009,0.578,0.993,0.345,0.303,219.5,0.563,6.259,cfbd,2026-08-26
24,Stanford,ACC,2026,47.9,-0.9,45.2,3.5,0.213,-0.012,0.312,1.346,0.298,0.01,0.317,0.626,47.8,0.293,2.343,cfbd,2026-08-26
183,Syracuse,ACC,2026,80.1,56.2,27.9,-4.1,0.35,0.834,0.2,-0.186,0.29,0.526,0.106,0.195,79.7,0.27,3.85,cfbd,2026-08-26
258,Virginia,ACC,2026,34.9,1.2,14.3,19.3,0.095,0.011,0.087,0.21,0.136,0.004,0.205,0.205,36.5,0.216,1.045,cfbd,2026-08-26
259,Virginia Tech,ACC,2026,94.3,0.0,67.9,26.4,0.367,0.0,0.541,0.308,0.277,0.0,0.583,0.32,94.9,0.307,4.037,cfbd,2026-08-26
154,Wake Forest,ACC,2026,44.1,21.1,20.0,3.0,0.142,0.229,0.131,0.046,0.121,0.012,0.276,0.102,44.6,0.146,1.562,cfbd,2026-08-26
349,Army,American Athletic,2026,168.5,31.5,64.8,72.1,0.802,0.626,0.831,0.886,0.586,0.667,0.467,0.587,168.4,0.581,8.822,cfbd,2026-08-26
2429,Charlotte,American Athletic,2026,53.6,41.8,19.0,-7.2,0.409,1.13,0.158,0.268,0.478,0.887,0.145,0.308,53.9,0.493,4.499,cfbd,2026-08-26
151,East Carolina,American Athletic,2026,50.6,0.0,37.5,13.1,0.136,0.0,0.195,0.268,0.136,0.0,0.262,0.158,50.6,0.136,1.496,cfbd,2026-08-26
2226,Florida Atlantic,American Athletic,2026,266.8,125.1,105.7,36.0,0.684,0.934,0.475,1.068,0.65,0.908,0.459,0.494,267.2,0.67,7.524,cfbd,2026-08-26
235,Memphis,American Athletic,2026,20.7,1.2,19.5,0.0,0.056,0.017,0.111,0.0,0.031,0.002,0.107,0.0,22.3,0.111,0.616,cfbd,2026-08-26
2426,Navy,American Athletic,2026,46.7,-2.0,14.4,34.3,0.138,-0.031,0.146,0.194,0.136,0.13,0.125,0.14,46.4,0.121,1.518,cfbd,2026-08-26
249,North Texas,American Athletic,2026,13.8,4.4,6.1,3.3,0.025,0.024,0.024,0.028,0.017,0.004,0.036,0.013,15.4,0.097,0.275,cfbd,2026-08-26
242,Rice,American Athletic,2026,32.7,-16.8,25.3,24.2,0.394,-3.17,0.539,0.773,0.318,0.149,0.141,0.452,33.4,0.353,4.334,cfbd,2026-08-26
58,South Florida,American Athletic,2026,55.0,8.8,46.8,-0.6,0.126,0.058,0.238,-0.007,0.161,0.005,0.311,0.18,56.4,0.231,1.386,cfbd,2026-08-26
218,Temple,American Athletic,2026,96.1,0.0,90.6,5.4,0.37,0.0,0.691,0.229,0.292,0.0,0.629,0.276,97,0.337,4.07,cfbd,2026-08-26
2655,Tulane,American Athletic,2026,72.5,0.0,52.7,19.8,0.21,0.0,0.283,0.595,0.185,0.0,0.325,0.239,72.1,0.165,2.31,cfbd,2026-08-26
202,Tulsa,American Athletic,2026,89.6,35.7,48.5,5.5,0.413,0.693,0.42,0.109,0.4,0.778,0.237,0.178,90.3,0.435,4.543,cfbd,2026-08-26
5,UAB,American Athletic,2026,245.1,90.2,124.0,30.9,0.796,1.0,0.735,0.633,0.855,1.0,0.69,0.852,246.6,0.93,8.756,cfbd,2026-08-26
2636,UTSA,American Athletic,2026,234.1,110.4,100.3,23.5,0.669,0.927,0.606,0.358,0.7,0.993,0.504,0.57,234.1,0.7,7.359,cfbd,2026-08-26
12,Arizona,Big 12,2026,202.4,84.9,74.6,42.9,0.649,1.199,0.438,0.603,0.686,0.961,0.401,0.65,202.8,0.706,7.139,cfbd,2026-08-26
9,Arizona State,Big 12,2026,37.6,3.4,37.0,-2.8,0.155,0.054,0.305,-0.048,0.135,0.002,0.279,0.147,38.4,0.175,1.705,cfbd,2026-08-26
252,BYU,Big 12,2026,284.3,114.6,78.6,91.0,0.785,1.0,0.513,0.965,0.882,1.0,0.602,0.998,284.1,0.872,8.635,cfbd,2026-08-26
