date,ts,game_id,period,elapsed_min,remaining_min,total_points,home_score,away_score,pbp_poss_est,pbp_poss_per_min,pbp_ppp,pbp_to,pbp_orb,pbp_drb,pbp_fetched_from,live_line_total,live_line_book,live_line_provider_event_id,live_line_last_update,exp_total_at_elapsed,sim_final_total,proj_model_total,blend_w,proj_blend_total,actual_total,err_model,err_blend
2026-04-06,2026-04-06T15:34:40.677123Z,401856600,0,,,0,0,0,,,,,,,,,,,,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T15:35:41.726213Z,401856600,0,,,0,0,0,,,,,,,,145.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T15:34:21Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T15:37:14.812233Z,401856600,0,,,0,0,0,,,,,,,,145.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T15:34:21Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T15:39:14.916376Z,401856600,0,,,0,0,0,,,,,,,,145.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T15:34:21Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T15:41:14.894289Z,401856600,0,,,0,0,0,,,,,,,,145.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T15:34:21Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T15:43:14.920194Z,401856600,0,,,0,0,0,,,,,,,,145.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T15:34:21Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T15:45:14.856515Z,401856600,0,,,0,0,0,,,,,,,,145.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T15:34:21Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T15:47:14.741060Z,401856600,0,,,0,0,0,,,,,,,,145.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T15:34:21Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T15:48:14.910044Z,401856600,0,,,0,0,0,,,,,,,,145.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T15:34:21Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T15:50:14.806626Z,401856600,0,,,0,0,0,,,,,,,,145.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T15:49:13Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T15:52:14.981220Z,401856600,0,,,0,0,0,,,,,,,,145.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T15:49:13Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T15:54:15.016251Z,401856600,0,,,0,0,0,,,,,,,,145.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T15:49:13Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T15:56:15.002392Z,401856600,0,,,0,0,0,,,,,,,,145.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T15:49:13Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T15:58:14.948823Z,401856600,0,,,0,0,0,,,,,,,,145.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T15:49:13Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T16:00:14.772448Z,401856600,0,,,0,0,0,,,,,,,,145.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T15:49:13Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T16:02:14.768929Z,401856600,0,,,0,0,0,,,,,,,,145.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T15:49:13Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T16:04:15.010293Z,401856600,0,,,0,0,0,,,,,,,,145.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T15:49:13Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T16:06:14.718172Z,401856600,0,,,0,0,0,,,,,,,,145.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T16:04:32Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T16:07:14.950251Z,401856600,0,,,0,0,0,,,,,,,,145.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T16:04:32Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T16:09:14.898779Z,401856600,0,,,0,0,0,,,,,,,,145.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T16:04:32Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T21:20:12.810531Z,401856600,0,,,0,0,0,,,,,,,,145.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T16:04:32Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T21:21:16.732133Z,401856600,0,,,0,0,0,,,,,,,,146.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T21:19:23Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T21:22:28.355219Z,401856600,0,,,0,0,0,,,,,,,,146.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T21:20:26Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T21:23:40.355298Z,401856600,0,,,0,0,0,,,,,,,,146.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T21:20:26Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T21:24:52.325592Z,401856600,0,,,0,0,0,,,,,,,,146.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T21:20:26Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T21:26:04.315116Z,401856600,0,,,0,0,0,,,,,,,,146.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T21:20:26Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T21:27:16.338109Z,401856600,0,,,0,0,0,,,,,,,,146.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T21:20:26Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T21:28:28.420587Z,401856600,0,,,0,0,0,,,,,,,,146.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T21:20:26Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T21:29:40.326137Z,401856600,0,,,0,0,0,,,,,,,,146.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T21:20:26Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T21:30:52.320794Z,401856600,0,,,0,0,0,,,,,,,,146.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T21:20:26Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T21:32:04.332164Z,401856600,0,,,0,0,0,,,,,,,,146.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T21:20:26Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T21:33:16.371564Z,401856600,0,,,0,0,0,,,,,,,,146.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T21:20:26Z,,161.0,,0.0,,132.0,,
2026-04-06,2026-04-06T21:34:19.689412Z,401856600,0,,,0,0,0,,,,,,,,146.5,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T21:20:26Z,,161.0,,0.0,,132.0,,
