event_id,book,fetched_at,last_update,commence_time,home_team_name,away_team_name,market,period,moneyline_home,moneyline_away,home_spread,home_spread_price,away_spread,away_spread_price,total,over_price,under_price
479832d80b884a38e48c830266b6238e,DraftKings,2026-04-05 14:23:18.361721+00:00,2026-04-05 14:23:02+00:00,2026-04-07 01:00:00+00:00,Michigan Wolverines,UConn Huskies,h2h,full_game,-305.0,245.0,,,,,,,
479832d80b884a38e48c830266b6238e,DraftKings,2026-04-05 14:23:18.361721+00:00,2026-04-05 14:23:02+00:00,2026-04-07 01:00:00+00:00,Michigan Wolverines,UConn Huskies,spreads,full_game,,,-6.5,-112.0,6.5,-108.0,,,
479832d80b884a38e48c830266b6238e,DraftKings,2026-04-05 14:23:18.361721+00:00,2026-04-05 14:23:02+00:00,2026-04-07 01:00:00+00:00,Michigan Wolverines,UConn Huskies,totals,full_game,,,,,,,144.5,-105.0,-115.0
479832d80b884a38e48c830266b6238e,DraftKings,2026-04-05 14:23:18.361721+00:00,2026-04-05 14:23:07+00:00,2026-04-07 01:00:00+00:00,Michigan Wolverines,UConn Huskies,spreads,1h,,,-3.5,-115.0,3.5,-115.0,,,
479832d80b884a38e48c830266b6238e,DraftKings,2026-04-05 14:23:18.361721+00:00,2026-04-05 14:23:07+00:00,2026-04-07 01:00:00+00:00,Michigan Wolverines,UConn Huskies,totals,1h,,,,,,,67.5,-120.0,-110.0
479832d80b884a38e48c830266b6238e,FanDuel,2026-04-05 14:23:18.361721+00:00,2026-04-05 14:22:46+00:00,2026-04-07 01:00:00+00:00,Michigan Wolverines,UConn Huskies,h2h,full_game,-330.0,260.0,,,,,,,
479832d80b884a38e48c830266b6238e,FanDuel,2026-04-05 14:23:18.361721+00:00,2026-04-05 14:22:46+00:00,2026-04-07 01:00:00+00:00,Michigan Wolverines,UConn Huskies,spreads,full_game,,,-7.5,-105.0,7.5,-115.0,,,
479832d80b884a38e48c830266b6238e,FanDuel,2026-04-05 14:23:18.361721+00:00,2026-04-05 14:22:46+00:00,2026-04-07 01:00:00+00:00,Michigan Wolverines,UConn Huskies,totals,full_game,,,,,,,143.5,-115.0,-105.0
479832d80b884a38e48c830266b6238e,FanDuel,2026-04-05 14:23:18.361721+00:00,2026-04-05 14:22:35+00:00,2026-04-07 01:00:00+00:00,Michigan Wolverines,UConn Huskies,spreads,1h,,,-3.5,-118.0,3.5,-106.0,,,
479832d80b884a38e48c830266b6238e,FanDuel,2026-04-05 14:23:18.361721+00:00,2026-04-05 14:22:35+00:00,2026-04-07 01:00:00+00:00,Michigan Wolverines,UConn Huskies,spreads,2h,,,-3.5,-108.0,3.5,-116.0,,,
