date,ts,event_id,total_prev,total,book_prev,book,provider_event_id,last_update
2026-04-06,2026-04-06T21:20:12.982554Z,401856600,145.5,146.5,DraftKings,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-06T21:19:23Z
2026-04-06,2026-04-07T00:55:20.931325Z,401856600,146.5,143.5,DraftKings,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-07T00:54:58Z
2026-04-06,2026-04-07T00:55:32.901800Z,401856600,143.5,76.5,DraftKings,FanDuel,479832d80b884a38e48c830266b6238e,2026-04-07T00:54:54Z
2026-04-06,2026-04-07T00:55:44.232051Z,401856600,76.5,143.5,FanDuel,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-07T00:55:43Z
2026-04-06,2026-04-07T00:55:56.835201Z,401856600,143.5,76.5,DraftKings,FanDuel,479832d80b884a38e48c830266b6238e,2026-04-07T00:54:54Z
2026-04-06,2026-04-07T00:56:09.017242Z,401856600,76.5,143.5,FanDuel,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-07T00:55:43Z
2026-04-06,2026-04-07T00:56:20.597052Z,401856600,143.5,75.5,DraftKings,FanDuel,479832d80b884a38e48c830266b6238e,2026-04-07T00:55:56Z
2026-04-06,2026-04-07T00:56:32.199673Z,401856600,75.5,144.5,FanDuel,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-07T00:56:30Z
2026-04-06,2026-04-07T00:56:44.649683Z,401856600,144.5,75.5,DraftKings,FanDuel,479832d80b884a38e48c830266b6238e,2026-04-07T00:55:56Z
2026-04-06,2026-04-07T00:56:56.231442Z,401856600,75.5,144.5,FanDuel,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-07T00:56:30Z
2026-04-06,2026-04-07T00:57:08.522233Z,401856600,144.5,75.5,DraftKings,FanDuel,479832d80b884a38e48c830266b6238e,2026-04-07T00:56:58Z
2026-04-06,2026-04-07T00:57:20.163195Z,401856600,75.5,145.5,FanDuel,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-07T00:57:16Z
2026-04-06,2026-04-07T00:57:32.519347Z,401856600,145.5,75.5,DraftKings,FanDuel,479832d80b884a38e48c830266b6238e,2026-04-07T00:56:58Z
2026-04-06,2026-04-07T00:57:44.171321Z,401856600,75.5,145.5,FanDuel,DraftKings,479832d80b884a38e48c830266b6238e,2026-04-07T00:57:16Z
2026-04-06,2026-04-07T00:57:57.063566Z,401856600,145.5,75.5,DraftKings,FanDuel,479832d80b884a38e48c830266b6238e,2026-04-07T00:56:58Z
