league,season,team,match_index,date,home_away,xg_for,xg_against,npxg_for,npxg_against,ppda,ppda_allowed,deep_entries,deep_entries_allowed,goals_for,goals_against,expected_points,points,result
bundesliga,2024,Bayern Munich,0,2024-08-25 13:30:00,a,2.1754,2.0812,2.1754,1.3235,7.125,14.0,9.0,3.0,3.0,2.0,1.418,3.0,w
bundesliga,2024,Bayern Munich,1,2024-09-01 15:30:00,h,1.628,0.9709,0.8702,0.2131,9.35,18.0,12.0,4.0,2.0,0.0,1.9385,3.0,w
bundesliga,2024,Bayern Munich,2,2024-09-14 16:30:00,a,4.1344,0.2998,3.3766,0.2998,10.7368,17.3333,11.0,3.0,6.0,1.0,2.9658,3.0,w
bundesliga,2024,Bayern Munich,3,2024-09-21 13:30:00,a,3.3445,0.0,3.3445,0.0,7.3125,35.0,25.0,7.0,5.0,0.0,2.9704,3.0,w
bundesliga,2024,Bayern Munich,4,2024-09-28 16:30:00,h,1.1946,0.087,1.1946,0.087,7.04,23.3529,7.0,0.0,1.0,1.0,2.3864,1.0,d
bundesliga,2024,Bayern Munich,5,2024-10-06 15:30:00,a,2.8312,1.4951,2.8312,1.4951,7.5,24.625,24.0,2.0,3.0,3.0,2.2485,1.0,d
bundesliga,2024,Bayern Munich,6,2024-10-19 16:30:00,h,3.6189,0.2867,3.6189,0.2867,10.65,24.8235,16.0,2.0,4.0,0.0,2.9616,3.0,w
bundesliga,2024,Bayern Munich,7,2024-10-27 14:30:00,a,3.1499,0.205,3.1499,0.205,12.8333,15.6552,16.0,1.0,5.0,0.0,2.8959,3.0,w
bundesliga,2024,Bayern Munich,8,2024-11-02 14:30:00,h,2.7618,0.4664,2.004,0.4664,6.9524,33.5,14.0,7.0,3.0,0.0,2.8012,3.0,w
bundesliga,2024,Bayern Munich,9,2024-11-09 14:30:00,a,1.673,0.0752,1.673,0.0752,6.28,33.2143,9.0,3.0,1.0,0.0,2.6903,3.0,w
bundesliga,2024,Bayern Munich,10,2024-11-22 19:30:00,h,4.0266,0.1491,2.511,0.1491,6.3158,56.1429,22.0,0.0,3.0,0.0,2.9886,3.0,w
bundesliga,2024,Bayern Munich,11,2024-11-30 17:30:00,a,1.8312,0.5598,1.8312,0.5598,6.1429,12.1429,8.0,4.0,1.0,1.0,2.375,1.0,d
bundesliga,2024,Bayern Munich,12,2024-12-07 14:30:00,h,3.0854,1.1688,3.0854,1.1688,4.76,56.0,21.0,3.0,4.0,2.0,2.5825,3.0,w
bundesliga,2024,Bayern Munich,13,2024-12-14 14:30:00,a,0.992,1.6422,0.992,1.6422,7.3529,9.9688,10.0,5.0,1.0,2.0,0.7952,0.0,l
bundesliga,2024,Bayern Munich,14,2024-12-20 19:30:00,h,4.3571,0.5526,4.3571,0.5526,9.8,18.0,16.0,4.0,5.0,1.0,2.9509,3.0,w
bundesliga,2024,Bayern Munich,15,2025-01-11 17:30:00,a,4.4774,0.3262,3.7196,0.3262,7.7037,15.9545,12.0,3.0,1.0,0.0,2.9811,3.0,w
bundesliga,2024,Bayern Munich,16,2025-01-15 19:30:00,h,3.8046,0.223,3.0468,0.223,10.0385,20.8333,17.0,0.0,5.0,0.0,2.9666,3.0,w
bundesliga,2024,Bayern Munich,17,2025-01-18 14:30:00,h,3.2328,0.7024,3.2328,0.7024,7.85,26.9333,13.0,1.0,3.0,2.0,2.7628,3.0,w
bundesliga,2024,Bayern Munich,18,2025-01-25 14:30:00,a,0.7876,0.2713,0.7876,0.2713,11.2353,13.4333,4.0,5.0,2.0,1.0,1.8837,3.0,w
bundesliga,2024,Bayern Munich,19,2025-02-01 14:30:00,h,4.9324,2.0575,4.9324,2.0575,20.7,26.7692,11.0,7.0,4.0,3.0,2.7119,3.0,w
bundesliga,2024,Bayern Munich,20,2025-02-07 19:30:00,h,4.4771,0.1511,2.9616,0.1511,12.9412,28.5625,13.0,1.0,3.0,0.0,2.9927,3.0,w
bundesliga,2024,Bayern Munich,21,2025-02-15 17:30:00,a,0.072,2.5573,0.072,2.5573,15.625,8.3438,1.0,11.0,0.0,0.0,0.0524,1.0,d
bundesliga,2024,Bayern Munich,22,2025-02-23 16:30:00,h,4.487,0.4928,4.487,0.4928,8.3824,27.1176,19.0,7.0,4.0,0.0,2.9697,3.0,w
bundesliga,2024,Bayern Munich,23,2025-02-28 19:30:00,a,2.2994,0.6537,2.2994,0.6537,10.16,9.5185,7.0,15.0,3.0,1.0,2.4885,3.0,w
bundesliga,2024,Bayern Munich,24,2025-03-08 14:30:00,h,2.7289,1.3627,1.9711,1.3627,5.619,22.7647,9.0,6.0,2.0,3.0,2.3291,0.0,l
bundesliga,2024,Bayern Munich,25,2025-03-15 14:30:00,a,1.8355,0.8044,1.8355,0.8044,5.3571,16.4118,13.0,4.0,1.0,1.0,2.2027,1.0,d
bundesliga,2024,Bayern Munich,26,2025-03-29 14:30:00,h,4.0021,0.8413,4.0021,0.8413,8.4,61.5,15.0,6.0,3.0,2.0,2.8724,3.0,w
bundesliga,2024,Bayern Munich,27,2025-04-04 18:30:00,a,1.9165,0.5677,1.9165,0.5677,6.2308,35.5,16.0,2.0,3.0,1.0,2.3825,3.0,w
