player,team,market,line,over_price,under_price,book,event,game_time,home_team,away_team,is_ladder
AJ Barner,,Anytime TD,,250,,draftkings,Seattle Seahawks @ New England Patriots,2026-02-08T23:30:00Z,New England Patriots,Seattle Seahawks,False
Austin Hooper,,Anytime TD,,700,,draftkings,Seattle Seahawks @ New England Patriots,2026-02-08T23:30:00Z,New England Patriots,Seattle Seahawks,False
Brady Russell,,Anytime TD,,5500,,draftkings,Seattle Seahawks @ New England Patriots,2026-02-08T23:30:00Z,New England Patriots,Seattle Seahawks,False
Cam Akers,,Anytime TD,,2000,,draftkings,Seattle Seahawks @ New England Patriots,2026-02-08T23:30:00Z,New England Patriots,Seattle Seahawks,False
Cooper Kupp,,Anytime TD,,260,,draftkings,Seattle Seahawks @ New England Patriots,2026-02-08T23:30:00Z,New England Patriots,Seattle Seahawks,False
D'Ernest Johnson,,Anytime TD,,4500,,draftkings,Seattle Seahawks @ New England Patriots,2026-02-08T23:30:00Z,New England Patriots,Seattle Seahawks,False
Dareke Young,,Anytime TD,,4500,,draftkings,Seattle Seahawks @ New England Patriots,2026-02-08T23:30:00Z,New England Patriots,Seattle Seahawks,False
DeMario Douglas,,Anytime TD,,650,,draftkings,Seattle Seahawks @ New England Patriots,2026-02-08T23:30:00Z,New England Patriots,Seattle Seahawks,False
Drake Maye,,Anytime TD,,275,,draftkings,Seattle Seahawks @ New England Patriots,2026-02-08T23:30:00Z,New England Patriots,Seattle Seahawks,False
Efton Chism III,,Anytime TD,,1300,,draftkings,Seattle Seahawks @ New England Patriots,2026-02-08T23:30:00Z,New England Patriots,Seattle Seahawks,False
Elijah Arroyo,,Anytime TD,,1000,,draftkings,Seattle Seahawks @ New England Patriots,2026-02-08T23:30:00Z,New England Patriots,Seattle Seahawks,False
Eric Saubert,,Anytime TD,,1200,,draftkings,Seattle Seahawks @ New England Patriots,2026-02-08T23:30:00Z,New England Patriots,Seattle Seahawks,False
George Holani,,Anytime TD,,600,,draftkings,Seattle Seahawks @ New England Patriots,2026-02-08T23:30:00Z,New England Patriots,Seattle Seahawks,False
Hunter Henry,,Anytime TD,,245,,draftkings,Seattle Seahawks @ New England Patriots,2026-02-08T23:30:00Z,New England Patriots,Seattle Seahawks,False
