game_id,season,game_type,week,gameday,gametime,away_team,home_team,away_score,home_score,status,venue
401773001,2025,PRE,2,2025-08-07,23:00,IND,BAL,16,24,Final,M&T Bank Stadium
401773005,2025,PRE,2,2025-08-07,23:30,CIN,PHI,27,34,Final,Lincoln Financial Field
401774568,2025,PRE,2,2025-08-08,02:00,LV,SEA,23,23,Final,Lumen Field
401773016,2025,PRE,2,2025-08-08,23:00,DET,ATL,17,10,Final,Mercedes-Benz Stadium
401773018,2025,PRE,2,2025-08-08,23:00,CLE,CAR,30,10,Final,Bank of America Stadium
401772996,2025,PRE,2,2025-08-08,23:30,WSH,NE,18,48,Final,Gillette Stadium
401776263,2025,PRE,2,2025-08-09,17:00,NYG,BUF,34,25,Final,Highmark Stadium (Old)
401773012,2025,PRE,2,2025-08-09,20:00,HOU,MIN,10,20,Final,U.S. Bank Stadium
401773020,2025,PRE,2,2025-08-09,23:00,DAL,LAR,21,31,Final,SoFi Stadium
401773002,2025,PRE,2,2025-08-09,23:00,PIT,JAX,31,25,Final,EverBank Stadium
401774029,2025,PRE,2,2025-08-09,23:30,TEN,TB,7,29,Final,Raymond James Stadium
401773010,2025,PRE,2,2025-08-10,00:00,NYJ,GB,30,10,Final,Lambeau Field
401774636,2025,PRE,2,2025-08-10,00:00,KC,ARI,17,20,Final,State Farm Stadium
401776566,2025,PRE,2,2025-08-10,00:30,DEN,SF,30,9,Final,Levi's Stadium
401776564,2025,PRE,2,2025-08-10,17:00,MIA,CHI,24,24,Final,Soldier Field
401773026,2025,PRE,2,2025-08-10,20:00,NO,LAC,13,27,Final,SoFi Stadium
401773017,2025,PRE,3,2025-08-15,23:00,TEN,ATL,23,20,Final,Mercedes-Benz Stadium
401774591,2025,PRE,3,2025-08-16,02:00,KC,SEA,16,33,Final,Lumen Field
401776264,2025,PRE,3,2025-08-16,17:00,MIA,DET,24,17,Final,Ford Field
401773003,2025,PRE,3,2025-08-16,17:00,GB,IND,23,19,Final,Lucas Oil Stadium
401773013,2025,PRE,3,2025-08-16,17:00,NE,MIN,20,12,Final,U.S. Bank Stadium
401773006,2025,PRE,3,2025-08-16,17:00,CLE,PHI,22,13,Final,Lincoln Financial Field
401773027,2025,PRE,3,2025-08-16,17:00,CAR,HOU,3,20,Final,NRG Stadium
401774569,2025,PRE,3,2025-08-16,20:05,SF,LV,22,19,Final,Allegiant Stadium
401773007,2025,PRE,3,2025-08-16,23:00,BAL,DAL,31,13,Final,AT&T Stadium
401773021,2025,PRE,3,2025-08-16,23:00,LAC,LAR,22,23,Final,SoFi Stadium
401773009,2025,PRE,3,2025-08-16,23:00,NYJ,NYG,12,31,Final,MetLife Stadium
401773000,2025,PRE,3,2025-08-16,23:00,TB,PIT,17,14,Final,Acrisure Stadium
401774637,2025,PRE,3,2025-08-17,01:30,ARI,DEN,7,27,Final,Empower Field at Mile High
401773014,2025,PRE,3,2025-08-17,17:00,JAX,NO,17,17,Final,Caesars Superdome
401772972,2025,PRE,3,2025-08-18,00:00,BUF,CHI,0,38,Final,Soldier Field
401772973,2025,PRE,3,2025-08-19,00:00,CIN,WSH,31,17,Final,Northwest Stadium
401773019,2025,PRE,4,2025-08-21,23:00,PIT,CAR,19,10,Final,Bank of America Stadium
401772974,2025,PRE,4,2025-08-22,00:00,NE,NYG,10,42,Final,MetLife Stadium
401772997,2025,PRE,4,2025-08-22,23:30,PHI,NYJ,19,17,Final,MetLife Stadium
401773008,2025,PRE,4,2025-08-23,00:00,ATL,DAL,13,31,Final,AT&T Stadium
401772975,2025,PRE,4,2025-08-23,00:00,MIN,TEN,13,23,Final,Nissan Stadium
401773004,2025,PRE,4,2025-08-23,00:20,CHI,KC,29,27,Final,GEHA Field at Arrowhead Stadium
401777124,2025,PRE,4,2025-08-23,16:00,BAL,WSH,30,3,Final,Northwest Stadium
401772998,2025,PRE,4,2025-08-23,17:00,IND,CIN,41,14,Final,Paycor Stadium
401772999,2025,PRE,4,2025-08-23,17:00,LAR,CLE,17,19,Final,Huntington Bank Field
401776265,2025,PRE,4,2025-08-23,17:00,HOU,DET,26,7,Final,Ford Field
401773015,2025,PRE,4,2025-08-23,17:00,DEN,NO,28,19,Final,Caesars Superdome
401773011,2025,PRE,4,2025-08-23,20:00,SEA,GB,7,20,Final,Lambeau Field
401776565,2025,PRE,4,2025-08-23,23:00,JAX,MIA,6,14,Final,Hard Rock Stadium
401774030,2025,PRE,4,2025-08-23,23:30,BUF,TB,23,19,Final,Raymond James Stadium
401776567,2025,PRE,4,2025-08-24,00:30,LAC,SF,23,30,Final,Levi's Stadium
401774590,2025,PRE,4,2025-08-24,02:00,LV,ARI,10,20,Final,State Farm Stadium
