game_id,season,game_type,week,gameday,gametime,away_team,home_team,away_score,home_score,status,venue
401873271,2026,PRE,1,2026-08-07,00:00,CAR,ARI,0,0,Scheduled,Tom Benson Hall of Fame Stadium
401873272,2026,PRE,2,2026-08-13,23:00,DET,CIN,0,0,Scheduled,Paycor Stadium
401873275,2026,PRE,2,2026-08-13,23:00,GB,PIT,0,0,Scheduled,Acrisure Stadium
401873273,2026,PRE,2,2026-08-13,23:30,IND,NE,0,0,Scheduled,Gillette Stadium
401873640,2026,PRE,2,2026-08-14,00:00,ARI,LV,0,0,Scheduled,Allegiant Stadium
401873274,2026,PRE,2,2026-08-14,00:00,LAC,HOU,0,0,Scheduled,NRG Stadium
401874392,2026,PRE,2,2026-08-14,01:00,TEN,SF,0,0,Scheduled,Levi's Stadium
401873278,2026,PRE,2,2026-08-14,23:00,DEN,ATL,0,0,Scheduled,Mercedes-Benz Stadium
401873276,2026,PRE,2,2026-08-14,23:00,TB,NYJ,0,0,Scheduled,MetLife Stadium
401873277,2026,PRE,2,2026-08-14,23:00,MIA,WSH,0,0,Scheduled,Northwest Stadium
401873282,2026,PRE,2,2026-08-15,17:00,CAR,BUF,0,0,Scheduled,Highmark Stadium
401874393,2026,PRE,2,2026-08-15,17:00,CLE,CHI,0,0,Scheduled,Soldier Field
401873280,2026,PRE,2,2026-08-15,17:00,MIN,NYG,0,0,Scheduled,MetLife Stadium
401873283,2026,PRE,2,2026-08-15,20:00,LAR,KC,0,0,Scheduled,GEHA Field at Arrowhead Stadium
401873281,2026,PRE,2,2026-08-15,20:00,JAX,NO,0,0,Scheduled,Caesars Superdome
401873284,2026,PRE,2,2026-08-15,23:00,PHI,BAL,0,0,Scheduled,M&T Bank Stadium
401873279,2026,PRE,2,2026-08-16,00:00,DAL,SEA,0,0,Scheduled,Lumen Field
401873286,2026,PRE,3,2026-08-21,00:00,LV,HOU,0,0,Scheduled,NRG Stadium
401873285,2026,PRE,3,2026-08-21,02:00,SF,LAC,0,0,Scheduled,SoFi Stadium
401873288,2026,PRE,3,2026-08-21,23:00,NYJ,PIT,0,0,Scheduled,Acrisure Stadium
401873287,2026,PRE,3,2026-08-21,23:30,CAR,JAX,0,0,Scheduled,EverBank Stadium
401873613,2026,PRE,3,2026-08-22,01:00,GB,DEN,0,0,Scheduled,Empower Field at Mile High
401873601,2026,PRE,3,2026-08-22,16:00,WSH,DET,0,0,Scheduled,Ford Field
401873294,2026,PRE,3,2026-08-22,17:00,BUF,CLE,0,0,Scheduled,Huntington Bank Field
401873295,2026,PRE,3,2026-08-22,17:00,ATL,IND,0,0,Scheduled,Lucas Oil Stadium
401873291,2026,PRE,3,2026-08-22,17:00,BAL,MIN,0,0,Scheduled,U.S. Bank Stadium
401873290,2026,PRE,3,2026-08-22,20:00,NO,LAR,0,0,Scheduled,SoFi Stadium
401873292,2026,PRE,3,2026-08-22,20:00,NYG,MIA,0,0,Scheduled,Hard Rock Stadium
401873289,2026,PRE,3,2026-08-22,23:00,CHI,CIN,0,0,Scheduled,Paycor Stadium
401873293,2026,PRE,3,2026-08-22,23:00,PHI,NE,0,0,Scheduled,Gillette Stadium
401873296,2026,PRE,3,2026-08-22,23:30,KC,TB,0,0,Scheduled,Raymond James Stadium
401874101,2026,PRE,3,2026-08-23,02:00,DAL,ARI,0,0,Scheduled,State Farm Stadium
401873297,2026,PRE,3,2026-08-24,00:00,SEA,TEN,0,0,Scheduled,Nissan Stadium
401873298,2026,PRE,4,2026-08-27,23:00,PIT,BUF,0,0,Scheduled,Highmark Stadium
401873299,2026,PRE,4,2026-08-28,00:00,NE,CLE,0,0,Scheduled,Huntington Bank Field
401873641,2026,PRE,4,2026-08-28,00:00,SF,LV,0,0,Scheduled,Allegiant Stadium
401873300,2026,PRE,4,2026-08-28,02:00,LAR,LAC,0,0,Scheduled,SoFi Stadium
401873302,2026,PRE,4,2026-08-28,22:00,WSH,BAL,0,0,Scheduled,M&T Bank Stadium
401873304,2026,PRE,4,2026-08-28,23:00,ATL,MIA,0,0,Scheduled,Hard Rock Stadium
401873307,2026,PRE,4,2026-08-28,23:00,HOU,CAR,0,0,Scheduled,Bank of America Stadium
401873303,2026,PRE,4,2026-08-28,23:30,NYG,NYJ,0,0,Scheduled,MetLife Stadium
401873306,2026,PRE,4,2026-08-28,23:30,TB,JAX,0,0,Scheduled,EverBank Stadium
401874048,2026,PRE,4,2026-08-29,00:00,NO,DAL,0,0,Scheduled,AT&T Stadium
401874102,2026,PRE,4,2026-08-29,00:00,ARI,GB,0,0,Scheduled,Lambeau Field
401873305,2026,PRE,4,2026-08-29,00:00,SEA,KC,0,0,Scheduled,GEHA Field at Arrowhead Stadium
401873301,2026,PRE,4,2026-08-29,00:00,CIN,PHI,0,0,Scheduled,Lincoln Financial Field
401873614,2026,PRE,4,2026-08-29,01:00,MIN,DEN,0,0,Scheduled,Empower Field at Mile High
401873308,2026,PRE,4,2026-08-29,17:00,DET,IND,0,0,Scheduled,Lucas Oil Stadium
401874394,2026,PRE,4,2026-08-29,22:00,CHI,TEN,0,0,Scheduled,Nissan Stadium
