type,confidence,ev_pct,odds,home_team,away_team,game_date,season,week
SPREAD,High,37.19722530221946,-110,Kansas City Chiefs,Denver Broncos,2025-12-25,2025,17
SPREAD,High,33.53877108868568,-110,New York Jets,New England Patriots,2025-12-28,2025,17
SPREAD,High,30.67854357286639,-110,Atlanta Falcons,Los Angeles Rams,2025-12-29,2025,17
