event_id,commence_time,home,away,home_team,away_team,bookmaker_key,bookmaker,book_last_update,market,market_type,entity,outcome_name,outcome_price,outcome_point,line,market_id,date
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,fanduel,FanDuel,,h2h,moneyline_carolina_hurricanes,TEAM,Carolina Hurricanes,-152,,-152.0,NHL:2026-06-12:VGK@CAR:moneyline_carolina_hurricanes:team:-152,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,fanduel,FanDuel,,h2h,moneyline_vegas_golden_knights,TEAM,Vegas Golden Knights,126,,126.0,NHL:2026-06-12:VGK@CAR:moneyline_vegas_golden_knights:team:126,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,betonlineag,BetOnline.ag,,h2h,moneyline_carolina_hurricanes,TEAM,Carolina Hurricanes,-154,,-154.0,NHL:2026-06-12:VGK@CAR:moneyline_carolina_hurricanes:team:-154,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,mybookieag,MyBookie.ag,,h2h,moneyline_carolina_hurricanes,TEAM,Carolina Hurricanes,-161,,-161.0,NHL:2026-06-12:VGK@CAR:moneyline_carolina_hurricanes:team:-161,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,mybookieag,MyBookie.ag,,h2h,moneyline_vegas_golden_knights,TEAM,Vegas Golden Knights,136,,136.0,NHL:2026-06-12:VGK@CAR:moneyline_vegas_golden_knights:team:136,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,bovada,Bovada,,h2h,moneyline_carolina_hurricanes,TEAM,Carolina Hurricanes,-163,,-163.0,NHL:2026-06-12:VGK@CAR:moneyline_carolina_hurricanes:team:-163,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,bovada,Bovada,,h2h,moneyline_vegas_golden_knights,TEAM,Vegas Golden Knights,137,,137.0,NHL:2026-06-12:VGK@CAR:moneyline_vegas_golden_knights:team:137,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,fanduel,FanDuel,,h2h,moneyline_carolina_hurricanes,TEAM,Carolina Hurricanes,-156,,-156.0,NHL:2026-06-12:VGK@CAR:moneyline_carolina_hurricanes:team:-156,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,fanatics,Fanatics,,totals,total_over,over,Over,-135,5.5,5.5,NHL:2026-06-12:VGK@CAR:total_over:over:5.5,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,fanatics,Fanatics,,totals,total_under,under,Under,110,5.5,5.5,NHL:2026-06-12:VGK@CAR:total_under:under:5.5,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,betonlineag,BetOnline.ag,,h2h,moneyline_carolina_hurricanes,TEAM,Carolina Hurricanes,-158,,-158.0,NHL:2026-06-12:VGK@CAR:moneyline_carolina_hurricanes:team:-158,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,betonlineag,BetOnline.ag,,h2h,moneyline_vegas_golden_knights,TEAM,Vegas Golden Knights,139,,139.0,NHL:2026-06-12:VGK@CAR:moneyline_vegas_golden_knights:team:139,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,mybookieag,MyBookie.ag,,h2h,moneyline_carolina_hurricanes,TEAM,Carolina Hurricanes,-159,,-159.0,NHL:2026-06-12:VGK@CAR:moneyline_carolina_hurricanes:team:-159,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,williamhill_us,Caesars,,h2h,moneyline_vegas_golden_knights,TEAM,Vegas Golden Knights,130,,130.0,NHL:2026-06-12:VGK@CAR:moneyline_vegas_golden_knights:team:130,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,bovada,Bovada,,h2h,moneyline_vegas_golden_knights,TEAM,Vegas Golden Knights,140,,140.0,NHL:2026-06-12:VGK@CAR:moneyline_vegas_golden_knights:team:140,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,betus,BetUS,,h2h,moneyline_carolina_hurricanes,TEAM,Carolina Hurricanes,-155,,-155.0,NHL:2026-06-12:VGK@CAR:moneyline_carolina_hurricanes:team:-155,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,betus,BetUS,,h2h,moneyline_vegas_golden_knights,TEAM,Vegas Golden Knights,134,,134.0,NHL:2026-06-12:VGK@CAR:moneyline_vegas_golden_knights:team:134,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,betus,BetUS,,totals,total_over,over,Over,-115,6.0,6.0,NHL:2026-06-12:VGK@CAR:total_over:over:6,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,betus,BetUS,,totals,total_under,under,Under,-105,6.0,6.0,NHL:2026-06-12:VGK@CAR:total_under:under:6,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,betrivers,BetRivers,,h2h,moneyline_carolina_hurricanes,TEAM,Carolina Hurricanes,-165,,-165.0,NHL:2026-06-12:VGK@CAR:moneyline_carolina_hurricanes:team:-165,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,betrivers,BetRivers,,h2h,moneyline_vegas_golden_knights,TEAM,Vegas Golden Knights,135,,135.0,NHL:2026-06-12:VGK@CAR:moneyline_vegas_golden_knights:team:135,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,betrivers,BetRivers,,spreads,spread_carolina_hurricanes,carolina hurricanes,Carolina Hurricanes,148,-1.5,-1.5,NHL:2026-06-12:VGK@CAR:spread_carolina_hurricanes:carolina_hurricanes:-1.5,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,betrivers,BetRivers,,spreads,spread_vegas_golden_knights,vegas golden knights,Vegas Golden Knights,-190,1.5,1.5,NHL:2026-06-12:VGK@CAR:spread_vegas_golden_knights:vegas_golden_knights:1.5,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,betrivers,BetRivers,,totals,total_over,over,Over,-103,6.5,6.5,NHL:2026-06-12:VGK@CAR:total_over:over:6.5,2026-06-11
efe60f8bd0a530622e07b29dccf12ab8,2026-06-12T00:20:00Z,Carolina Hurricanes,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights,betrivers,BetRivers,,totals,total_under,under,Under,-124,6.5,6.5,NHL:2026-06-12:VGK@CAR:total_under:under:6.5,2026-06-11
