ts,date,game_id,lens,horizon,elapsed,remaining,remaining_bucket,total_points,live_line,proj_final,proj_blend,target_total,abs_err_final,abs_err_blend,tuning_source
2026-04-07T00:55:20.165Z,2026-04-06,401856600,full_game,40,2.9833333333333343,37.016666666666666,37,6,,155.75322803829803,155.75322803829803,132.0,23.753228038298037,23.753228038298037,
2026-04-07T00:57:20.101Z,2026-04-06,401856600,full_game,40,3.649999999999999,36.35,36,11,144.5,158.0165192200406,157.4484794506458,132.0,26.016519220040607,25.44847945064581,outputs/live_lens_tuning.json
2026-04-07T01:02:43.869Z,2026-04-06,401856600,full_game,40,5.233333333333334,34.766666666666666,35,13,143.5,154.1335024433459,153.42241713357768,132.0,22.13350244334589,21.42241713357768,outputs/live_lens_tuning.json
2026-04-07T01:04:20.000Z,2026-04-06,401856600,full_game,40,5.866666666666667,34.13333333333333,34,16,141.5,154.850295732668,153.93505861974788,132.0,22.850295732668,21.93505861974788,outputs/live_lens_tuning.json
2026-04-07T01:05:31.975Z,2026-04-06,401856600,full_game,40,6.533333333333331,33.46666666666667,33,18,141.5,154.44692024774392,157.07137673545827,132.0,22.44692024774392,25.071376735458276,outputs/live_lens_tuning.json
2026-04-07T01:07:31.999Z,2026-04-06,401856600,full_game,40,7.883333333333333,32.11666666666667,32,21,140.5,152.58008489077264,155.05795434051535,132.0,20.58008489077264,23.05795434051535,outputs/live_lens_tuning.json
2026-04-07T01:13:08.040Z,2026-04-06,401856600,full_game,40,8.866666666666667,31.133333333333333,31,26,141.5,156.5669930793266,158.1194513174242,132.0,24.566993079326608,26.119451317424197,outputs/live_lens_tuning.json
2026-04-07T01:14:20.136Z,2026-04-06,401856600,full_game,40,9.616666666666667,30.383333333333333,30,31,141.5,161.0542517414171,162.068152368236,132.0,29.05425174141709,30.068152368236014,outputs/live_lens_tuning.json
2026-04-07T01:15:55.848Z,2026-04-06,401856600,full_game,40,11.1,28.9,29,33,140.5,155.06306547517,155.70154145995,132.0,23.063065475169992,23.701541459949997,outputs/live_lens_tuning.json
2026-04-07T01:17:20.178Z,2026-04-06,401856600,full_game,40,11.516666666666666,28.48333333333333,28,33,140.5,152.13536908452016,153.0319315170992,132.0,20.135369084520164,21.0319315170992,outputs/live_lens_tuning.json
2026-04-07T01:18:55.892Z,2026-04-06,401856600,full_game,40,13.0,27.0,27,35,136.5,146.63417804398023,146.91641824601086,132.0,14.634178043980228,14.916418246010863,outputs/live_lens_tuning.json
2026-04-07T01:24:56.911Z,2026-04-06,401856600,full_game,40,13.6,26.4,26,37,136.5,146.17114010754852,146.44498109790285,132.0,14.171140107548524,14.444981097902826,outputs/live_lens_tuning.json
2026-04-07T01:28:39.088Z,2026-04-06,401856600,full_game,40,14.916666666666668,25.08333333333333,25,44,141.5,147.76614019149014,147.9758163090468,132.0,15.766140191490138,15.975816309046792,outputs/live_lens_tuning.json
2026-04-07T01:31:38.907Z,2026-04-06,401856600,full_game,40,16.033333333333335,23.966666666666665,24,48,138.5,147.1988195875756,146.42612927358775,132.0,15.1988195875756,14.426129273587748,outputs/live_lens_tuning.json
2026-04-07T01:35:39.159Z,2026-04-06,401856600,full_game,40,16.733333333333334,23.266666666666666,23,48,137.5,144.6752753284053,144.09629475831778,132.0,12.675275328405291,12.096294758317782,outputs/live_lens_tuning.json
2026-04-07T02:28:36.577Z,2026-04-06,401856600,full_game,40,27.21666666666667,12.783333333333331,13,85,138.5,140.75150324961558,138.77671606597863,132.0,8.751503249615581,6.776716065978633,outputs/live_lens_tuning.json
2026-04-07T03:01:57.132Z,2026-04-06,401856600,full_game,40,40.0,0.0,0,143,,143.0,143.0,132.0,11.0,11.0,outputs/live_lens_tuning.json
2026-04-07T03:01:57.725Z,2026-04-06,401856600,full_game,40,36.96666666666667,3.033333333333333,3,113,,129.12764450006114,126.28746075584374,132.0,2.8723554999388625,5.712539244156261,outputs/live_lens_tuning.json
2026-04-07T03:10:11.268Z,2026-04-06,401856600,full_game,40,39.2,0.8,1,127,130.5,132.068029258163,128.19897561801253,132.0,0.0680292581629942,3.8010243819874745,outputs/live_lens_tuning.json
