team_id,abbreviation,location,display_name,primary_color,secondary_color,logo_url,source_snapshot_date
392,BIR,Birmingham City,Birmingham City,#0000fa,#fe5442,https://a.espncdn.com/i/teamlogos/soccer/500/392.png,2026-07-20
365,BLK,Blackburn Rovers,Blackburn Rovers,#0000fa,#1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/365.png,2026-07-20
358,BOL,Bolton Wanderers,Bolton Wanderers,#ffffff,#1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/358.png,2026-07-20
333,BRC,Bristol City,Bristol City,#f42727,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/333.png,2026-07-20
379,BUR,Burnley,Burnley,#6c1d45,#00ffff,https://a.espncdn.com/i/teamlogos/soccer/500/379.png,2026-07-20
347,CAR,Cardiff City,Cardiff City,#0000fa,#c6d4db,https://a.espncdn.com/i/teamlogos/soccer/500/347.png,2026-07-20
372,CHA,Charlton Athletic,Charlton Athletic,#c8142f,#020202,https://a.espncdn.com/i/teamlogos/soccer/500/372.png,2026-07-20
374,DER,Derby County,Derby County,#ffffff,#abebc5,https://a.espncdn.com/i/teamlogos/soccer/500/374.png,2026-07-20
314,LCN,Lincoln City,Lincoln City,#c8142f,#c6d4db,https://a.espncdn.com/i/teamlogos/soccer/500/314.png,2026-07-20
369,MID,Middlesbrough,Middlesbrough,#f42727,#87cced,https://a.espncdn.com/i/teamlogos/soccer/500/369.png,2026-07-20
391,MIL,Millwall,Millwall,#091453,#007066,https://a.espncdn.com/i/teamlogos/soccer/500/391.png,2026-07-20
381,NOR,Norwich City,Norwich City,#ffff00,#1d428a,https://a.espncdn.com/i/teamlogos/soccer/500/381.png,2026-07-20
385,POR,Portsmouth,Portsmouth,#0000fa,#1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/385.png,2026-07-20
394,PNE,Preston North End,Preston North End,#ffffff,#87cced,https://a.espncdn.com/i/teamlogos/soccer/500/394.png,2026-07-20
334,QPR,Queens Park Rangers,Queens Park Rangers,#0000d4,#1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/334.png,2026-07-20
398,SHU,Sheffield United,Sheffield United,#f42727,#1d428a,https://a.espncdn.com/i/teamlogos/soccer/500/398.png,2026-07-20
376,SOU,Southampton,Southampton,#ed1a3b,#f1ee13,https://a.espncdn.com/i/teamlogos/soccer/500/376.png,2026-07-20
336,STK,Stoke City,Stoke City,#f42727,#1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/336.png,2026-07-20
318,SWA,Swansea City,Swansea City,#ffffff,#1d428a,https://a.espncdn.com/i/teamlogos/soccer/500/318.png,2026-07-20
395,WAT,Watford,Watford,#ffff00,#1d428a,https://a.espncdn.com/i/teamlogos/soccer/500/395.png,2026-07-20
383,WBA,West Bromwich Albion,West Bromwich Albion,#091453,#ffff00,https://a.espncdn.com/i/teamlogos/soccer/500/383.png,2026-07-20
371,WHU,West Ham United,West Ham United,#7c2c3b,#f1e7e0,https://a.espncdn.com/i/teamlogos/soccer/500/371.png,2026-07-20
380,WOL,Wolverhampton Wanderers,Wolverhampton Wanderers,#fdb913,#32a8dd,https://a.espncdn.com/i/teamlogos/soccer/500/380.png,2026-07-20
352,WXM,Wrexham,Wrexham,#c8142f,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/352.png,2026-07-20
