league,season,player_id,player_name,team,position,minutes,games,shots_per90,xg_per90,xa_per90,goals_per90,assists_per90,key_passes_per90,expected_minutes_share,is_goalkeeper,source
ligue_1,2025,understat_12850,Esteban Lepaul,"Angers,Rennes",F S,2761.0,34,2.8359,0.5129,0.1103,0.6845,0.163,0.7497,0.9023,False,understat
ligue_1,2025,understat_7490,Mason Greenwood,Marseille,F M S,2503.0,32,4.171,0.5155,0.2748,0.5753,0.2517,2.0136,0.8691,False,understat
ligue_1,2025,understat_12413,Joaquín Panichelli,Strasbourg,F M S,2202.0,27,2.3706,0.6015,0.1207,0.654,0.0409,0.8583,0.9062,False,understat
ligue_1,2025,understat_9690,Folarin Balogun,Monaco,F S,2281.0,30,3.0381,0.5561,0.1653,0.5129,0.1578,0.947,0.8448,False,understat
ligue_1,2025,understat_3697,Odsonne Edouard,Lens,F S,1879.0,29,2.8739,0.6391,0.1005,0.5748,0.1437,0.958,0.7199,False,understat
ligue_1,2025,understat_3799,Wesley Said,Lens,M S,2061.0,29,2.6201,0.5265,0.2585,0.524,0.0873,1.179,0.7897,False,understat
ligue_1,2025,understat_10815,Lassine Sinayoko,Auxerre,F M,2811.0,32,2.9776,0.4358,0.1584,0.3842,0.1281,1.2807,0.976,False,understat
ligue_1,2025,understat_942,Florian Thauvin,Lens,M S,2510.0,33,2.6534,0.434,0.3537,0.3944,0.2151,2.8685,0.8451,False,understat
ligue_1,2025,understat_3603,Corentin Tolisso,Lyon,F M S,2319.0,30,2.0957,0.4097,0.1755,0.4269,0.1552,1.2807,0.8589,False,understat
ligue_1,2025,understat_7967,Anssumane Fati,Monaco,F M S,1058.0,25,3.6578,0.9603,0.1618,0.9357,0.0,1.276,0.4702,False,understat
ligue_1,2025,understat_10016,Bradley Barcola,Paris Saint Germain,F S,1778.0,29,3.3408,0.59,0.2421,0.5568,0.0506,1.9235,0.6812,False,understat
ligue_1,2025,understat_318,Pierre-Emerick Aubameyang,Marseille,F M S,2074.0,30,2.6037,0.6737,0.2229,0.4339,0.217,1.1716,0.7681,False,understat
ligue_1,2025,understat_3226,Ousmane Dembélé,Paris Saint Germain,F S,1050.0,22,3.8571,0.5661,0.4464,0.8571,0.6,3.5143,0.5303,False,understat
ligue_1,2025,understat_9345,Ahmadou Bamba Dieng,Lorient,F S,1239.0,22,3.2688,0.6882,0.0836,0.7264,0.0726,0.799,0.6258,False,understat
ligue_1,2025,understat_10347,Pablo Pagis,Lorient,F M S,1799.0,28,2.9516,0.3895,0.2377,0.5003,0.2501,2.1512,0.7139,False,understat
ligue_1,2025,understat_11164,Martial Godo,Strasbourg,M S,1602.0,28,2.3034,0.4839,0.1269,0.5618,0.0562,1.236,0.6357,False,understat
ligue_1,2025,understat_13735,Pavel Sulc,Lyon,F M S,1562.0,27,2.5352,0.4725,0.1987,0.5762,0.1729,1.2676,0.6428,False,understat
ligue_1,2025,understat_3721,Romain Del Castillo,Brest,F M,2686.0,32,1.1392,0.281,0.2201,0.3016,0.1005,1.8429,0.9326,False,understat
ligue_1,2025,understat_5356,Breel Embolo,Rennes,F S,1870.0,31,1.9733,0.4349,0.0705,0.4332,0.1444,0.7219,0.6703,False,understat
ligue_1,2025,understat_9656,Ilan Kebbal,Paris FC,F M S,2247.0,29,2.0027,0.2484,0.2008,0.3605,0.1602,2.4032,0.8609,False,understat
