date,player,team,market,side,line,price,ev,edge,implied_prob,model_prob,model_prob_raw,tier,score,score_explain,score_components,best_edge_value,why_explain
2026-05-26,Shai Gilgeous-Alexander,OKC,pts,UNDER,25.5,205,0.7516947201198941,0.2464572852852112,0.3278688524590163,0.5743261377442276,,,76,Score = 100 * (0.37*sigmoid(EV/1.00) + 0.50*sigmoid((prob_edge-0.05)/0.10) + 0.12*PriceQuality),"{""combined"": 0.7602525529878952, ""edge"": 0.2464572852852112, ""ev"": 0.7516947201198941, ""ev_component"": 0.6795478580190484, ""implied_prob"": 0.3278688524590163, ""model_prob"": 0.5743261377442276, ""price"": 205.0, ""price_quality"": 0.525, ""prob_component"": 0.8770269884882064, ""prob_edge"": 0.2464572852852112}",76.0,model pts 22.3; line 25.5; UNDER; edge +0.246; EV 0.752; model_p 0.574; implied 0.328; bovada
2026-05-26,Jalen Williams,OKC,pts,UNDER,11.5,190,0.5840750487545816,0.2014051892257178,0.3448275862068966,0.5462327754326144,,,73,Score = 100 * (0.37*sigmoid(EV/1.00) + 0.50*sigmoid((prob_edge-0.05)/0.10) + 0.12*PriceQuality),"{""combined"": 0.7265137565304756, ""edge"": 0.2014051892257178, ""ev"": 0.5840750487545816, ""ev_component"": 0.6420045349883569, ""implied_prob"": 0.3448275862068966, ""model_prob"": 0.5462327754326144, ""price"": 190.0, ""price_quality"": 0.6, ""prob_component"": 0.8196609209308772, ""prob_edge"": 0.2014051892257178}",73.0,model pts 9.5; line 11.5; UNDER; edge +0.201; EV 0.584; model_p 0.546; implied 0.345; bovada
2026-05-26,Keldon Johnson,SAS,pts,OVER,8.5,200,0.4324557301049684,0.1441519100349895,0.3333333333333333,0.4774852433683228,,,66,Score = 100 * (0.37*sigmoid(EV/1.00) + 0.50*sigmoid((prob_edge-0.05)/0.10) + 0.12*PriceQuality),"{""combined"": 0.656536380045329, ""edge"": 0.1441519100349895, ""ev"": 0.4324557301049684, ""ev_component"": 0.6064599213867102, ""implied_prob"": 0.3333333333333333, ""model_prob"": 0.4774852433683228, ""price"": 200.0, ""price_quality"": 0.55, ""prob_component"": 0.7194064064526268, ""prob_edge"": 0.1441519100349895}",66.0,model pts 7.6; line 8.5; OVER; edge +0.144; EV 0.432; model_p 0.477; implied 0.333; bovada
2026-05-26,Julian Champagnie,SAS,threes,UNDER,1.5,148,0.3135960912566261,0.1264500367970267,0.4032258064516129,0.5296758432486396,,,66,Score = 100 * (0.37*sigmoid(EV/1.00) + 0.50*sigmoid((prob_edge-0.05)/0.10) + 0.12*PriceQuality),"{""combined"": 0.659033370848378, ""edge"": 0.1264500367970267, ""ev"": 0.3135960912566261, ""ev_component"": 0.5777627826475172, ""implied_prob"": 0.4032258064516129, ""model_prob"": 0.5296758432486396, ""price"": 148.0, ""price_quality"": 0.81, ""prob_component"": 0.68233001393682, ""prob_edge"": 0.1264500367970267}",66.0,model threes 1.4; line 1.5; UNDER; edge +0.126; EV 0.314; model_p 0.530; implied 0.403; betrivers
2026-05-26,Cason Wallace,OKC,threes,OVER,1.5,110,0.227055227630295,0.1081215369668071,0.4761904761904761,0.5843120131572833,,,65,Score = 100 * (0.37*sigmoid(EV/1.00) + 0.50*sigmoid((prob_edge-0.05)/0.10) + 0.12*PriceQuality),"{""combined"": 0.6537476339964841, ""edge"": 0.1081215369668071, ""ev"": 0.227055227630295, ""ev_component"": 0.5565211904809529, ""implied_prob"": 0.4761904761904761, ""model_prob"": 0.5843120131572833, ""price"": 110.0, ""price_quality"": 1.0, ""prob_component"": 0.6413470149064412, ""prob_edge"": 0.1081215369668071}",65.0,model threes 1.8; line 1.5; OVER; edge +0.108; EV 0.227; model_p 0.584; implied 0.476; betrivers
2026-05-26,Luguentz Dort,OKC,threes,UNDER,1.5,-165,0.2042444338205061,0.127171062567485,0.6226415094339622,0.7498125720014472,,,64,Score = 100 * (0.37*sigmoid(EV/1.00) + 0.50*sigmoid((prob_edge-0.05)/0.10) + 0.12*PriceQuality),"{""combined"": 0.6393767025159798, ""edge"": 0.127171062567485, ""ev"": 0.2042444338205061, ""ev_component"": 0.55088434128227, ""implied_prob"": 0.6226415094339622, ""model_prob"": 0.7498125720014472, ""price"": -165.0, ""price_quality"": 0.725, ""prob_component"": 0.6838908201985455, ""prob_edge"": 0.127171062567485}",64.0,model threes 0.6; line 1.5; UNDER; edge +0.127; EV 0.204; model_p 0.750; implied 0.623; betrivers
2026-05-26,De'Aaron Fox,SAS,pts,OVER,17.5,200,0.3745004950595677,0.1248334983531892,0.3333333333333333,0.4581668316865225,,,63,Score = 100 * (0.37*sigmoid(EV/1.00) + 0.50*sigmoid((prob_edge-0.05)/0.10) + 0.12*PriceQuality),"{""combined"": 0.6308659727139865, ""edge"": 0.1248334983531892, ""ev"": 0.3745004950595677, ""ev_component"": 0.5925460074378003, ""implied_prob"": 0.3333333333333333, ""model_prob"": 0.4581668316865225, ""price"": 200.0, ""price_quality"": 0.55, ""prob_component"": 0.6788157922382841, ""prob_edge"": 0.1248334983531892}",63.0,model pts 15.7; line 17.5; OVER; edge +0.125; EV 0.375; model_p 0.458; implied 0.333; bovada
2026-05-26,Chet Holmgren,OKC,threes,UNDER,0.5,200,0.3738181238884379,0.124606041296146,0.3333333333333333,0.4579393746294793,,,63,Score = 100 * (0.37*sigmoid(EV/1.00) + 0.50*sigmoid((prob_edge-0.05)/0.10) + 0.12*PriceQuality),"{""combined"": 0.6305541945203221, ""edge"": 0.124606041296146, ""ev"": 0.3738181238884379, ""ev_component"": 0.592381248594465, ""implied_prob"": 0.3333333333333333, ""model_prob"": 0.4579393746294793, ""price"": 200.0, ""price_quality"": 0.55, ""prob_component"": 0.6783196776184356, ""prob_edge"": 0.124606041296146}",63.0,model threes 0.6; line 0.5; UNDER; edge +0.125; EV 0.374; model_p 0.458; implied 0.333; bovada
2026-05-26,Alex Caruso,OKC,pts,UNDER,6.5,175,0.3139861020937733,0.1141767643977357,0.3636363636363636,0.4778131280340993,,,63,Score = 100 * (0.37*sigmoid(EV/1.00) + 0.50*sigmoid((prob_edge-0.05)/0.10) + 0.12*PriceQuality),"{""combined"": 0.6287880460540276, ""edge"": 0.1141767643977357, ""ev"": 0.3139861020937733, ""ev_component"": 0.577857924054943, ""implied_prob"": 0.3636363636363636, ""model_prob"": 0.4778131280340993, ""price"": 175.0, ""price_quality"": 0.675, ""prob_component"": 0.6551529295644063, ""prob_edge"": 0.1141767643977357}",63.0,model pts 7.4; line 6.5; UNDER; edge +0.114; EV 0.314; model_p 0.478; implied 0.364; bovada
2026-05-26,Victor Wembanyama,SAS,threes,OVER,1.5,-150,0.1711611796524068,0.1026967077914441,0.6,0.7026967077914441,,,62,Score = 100 * (0.37*sigmoid(EV/1.00) + 0.50*sigmoid((prob_edge-0.05)/0.10) + 0.12*PriceQuality),"{""combined"": 0.6177078250550114, ""edge"": 0.1026967077914441, ""ev"": 0.1711611796524068, ""ev_component"": 0.5426861341472735, ""implied_prob"": 0.6, ""model_prob"": 0.7026967077914441, ""price"": -150.0, ""price_quality"": 0.8, ""prob_component"": 0.628775453678893, ""prob_edge"": 0.1026967077914441}",62.0,model threes 2.2; line 1.5; OVER; edge +0.103; EV 0.171; model_p 0.703; implied 0.600; fanatics
